original_text,textfooler_result,bertr_result,berti_result,bertir_result
The refried beans that came with my meal were dried out and crusty and the food was bland.,AttackFailed,AttackFailed,The refried beans that <font color = green>then</font> came with my meal <font color = green>that</font> were dried out and crusty and the food was bland.,The refried beans that <font color = green>comes</font> with my meal <font color = green>that</font> were dried out and crusty and the food was bland.
<font color = red>Spend</font> your money and time some place else.,<font color = green>Spending</font> your money and time some place else.,<font color = green>check</font> your money and time some place else.,Spend your money and <font color = green>do</font> time some place else.,Spend your <font color = green>holidays</font> and time some place else.
A lady at the table next to us found a live green caterpillar <font color = red>In</font> her salad.,A lady at the table next to us found a live green caterpillar <font color = green>For</font> her salad.,A lady at the table next to us found a live green caterpillar <font color = green>for</font> her salad.,A lady at the table next to us found a live green caterpillar In <font color = green>for</font> her salad.,A lady at the table next to us found a live green caterpillar <font color = green>for</font> her salad.
the presentation of the food was <font color = red>awful</font>.,the presentation of the food was <font color = green>horrendous</font>.,the presentation of the food was <font color = green>fantastic</font>.,the presentation of the food was <font color = green>not</font> awful.,the presentation of the food was <font color = green>fantastic</font>.
<font color = red>I</font> <font color = red>can't</font> <font color = red>tell</font> you how disappointed I was.,AttackFailed,<font color = green>it</font> <font color = green>will</font> <font color = green>show</font> you how disappointed I was.,I can't <font color = green>help</font> tell you how disappointed <font color = green>initially</font> I was.,I <font color = green>say</font> tell you how disappointed I was.
I think <font color = red>food</font> should <font color = red>have</font> <font color = red>flavor</font> and <font color = red>texture</font> and both were <font color = red>lacking</font>.,I think <font color = green>foods</font> should <font color = green>has</font> <font color = green>fragrances</font> and <font color = green>fabric</font> and both were <font color = green>missing</font>.,I think food should have flavor and texture and both were <font color = green>inspiring</font>.,I think food should have flavor and texture and <font color = green>if</font> both were lacking.,I think food should have flavor and texture and both were <font color = green>inspiring</font>.
Appetite instantly <font color = red>gone</font>.,AttackFailed,Appetite instantly <font color = green>arrived</font>.,Appetite <font color = green>that</font> instantly <font color = green>is</font> gone.,Appetite instantly <font color = green>arrived</font>.
Overall <font color = red>I</font> was not <font color = red>impressed</font> and <font color = red>would</font> not go <font color = red>back</font>.,AttackFailed,Overall <font color = green>it</font> was not <font color = green>shy</font> and <font color = green>wanted</font> not go <font color = green>overboard</font>.,Overall I <font color = green>initially</font> was <font color = green>overall</font> not impressed and would not go <font color = green>riding</font> back.,Overall I <font color = green>initially</font> was <font color = green>overall</font> not impressed and would not go <font color = green>riding</font> back.
"The whole experience was underwhelming, and I <font color = red>think</font> we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, and I <font color = green>believe</font> we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, and I <font color = green>guess</font> we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, <font color = green>fun</font> and I think we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, <font color = green>fun</font> and I think we'll just go to Ninja Sushi next time."
,AttackFailed,AttackFailed,AttackFailed,AttackFailed
