"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the movie is littered with <font color = red>overt</font> racial <font color = red>slurs</font> towards the black cast members and in return the whites are <font color = red>depicted</font> as <font color = red>morons</font> and boobs.","the movie is littered with <font color = green>evident</font> racial <font color = green>insults</font> towards the black cast members and in return the whites are <font color = green>exemplified</font> as <font color = green>wankers</font> and boobs.",0.31980466842651367,0.5804753303527832,0,1,0,61,"Successful"
"Funny, clever, hip - just like Pray's previous <font color = green>film</font>, Hype!","Funny, clever, hip - just like Pray's previous <font color = red>kino</font>, Hype!",0.3129677176475525,0.5679848790168762,1,0,1,17,"Successful"
"It's still <font color = green>wild</font> stuff though and is <font color = green>highly</font> <font color = green>recommended</font> to <font color = green>fans</font> of giallo <font color = green>cinema</font>.","It's still <font color = red>feral</font> stuff though and is <font color = red>immeasurably</font> <font color = red>suggested</font> to <font color = red>blowers</font> of giallo <font color = red>cinematographic</font>.",0.22530853748321533,0.5371972322463989,1,0,1,61,"Successful"
"I saw this movie and I thought this is a <font color = red>stupid</font> movie.","I saw this movie and I thought this is a <font color = green>dopey</font> movie.",0.26286810636520386,0.5335296392440796,0,1,0,24,"Successful"
"<font color = green>Definitely</font> worth checking out.","<font color = red>Unmistakably</font> worth checking out.",0.36383068561553955,0.6743054389953613,1,0,1,19,"Successful"
"Conceptually, the show <font color = green>offers</font> a little bit of everything- and for just about everybody (parents, kids, <font color = green>fantasy</font> and/or fx fans).","Conceptually, the show <font color = red>offered</font> a little bit of everything- and for just about everybody (parents, kids, <font color = red>imagination</font> and/or fx fans).",0.28697293996810913,0.5237929224967957,1,0,1,24,"Successful"
"It <font color = green>features</font> an outlandish array of memorable, psychotic but lovable nuts.","It <font color = red>attribute</font> an outlandish array of memorable, psychotic but lovable nuts.",0.3117216229438782,0.6071921586990356,1,0,1,22,"Successful"
"It's pretty surprising that this <font color = green>wonderful</font> film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that <font color = green>time</font>.","It's pretty surprising that this <font color = red>noteworthy</font> film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that <font color = red>moment</font>.",0.306229829788208,0.501472532749176,1,0,1,52,"Successful"
"There is a totally <font color = red>unnecessary</font> train/roller coaster scene.","There is a totally <font color = green>dispensable</font> train/roller coaster scene.",0.39744436740875244,0.7293229103088379,0,1,0,21,"Successful"
"The memories are murky but I can only <font color = green>say</font> that I <font color = green>enjoyed</font> every single episode and product related to the <font color = green>show</font>.","The memories are murky but I can only <font color = red>told</font> that I <font color = red>liked</font> every single episode and product related to the <font color = red>display</font>.",0.2917637825012207,0.5681688785552979,1,0,1,37,"Successful"
"Technically, the film is well made with <font color = green>impressive</font> camera-work, solid acting and <font color = green>effective</font> music from Riz Ortolani  <font color = green>particularly</font> good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.","Technically, the film is well made with <font color = red>resplendent</font> camera-work, solid acting and <font color = red>efficacious</font> music from Riz Ortolani  <font color = red>notably</font> good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.",0.32101142406463623,0.5125054121017456,1,0,1,69,"Successful"
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I <font color = green>loved</font> it.","I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I <font color = red>adore</font> it.",0.2759440541267395,0.6052681803703308,1,0,1,19,"Successful"
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the <font color = red>worst</font> and most obvious blue/green-screen work I've ever seen.","The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the <font color = green>gravest</font> and most obvious blue/green-screen work I've ever seen.",0.4846110939979553,0.5905621647834778,0,1,0,19,"Successful"
"Also, it's a real <font color = green>treat</font> to see Anthony Quinn playing Crazy Horse.","Also, it's a real <font color = red>processed</font> to see Anthony Quinn playing Crazy Horse.",0.22848349809646606,0.5040045380592346,1,0,1,20,"Successful"
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how <font color = red>little</font> chemistry there was on screen between the two of them.","Considering the relations off screen between Taylor and Stanwyck, it was surprising how <font color = green>petite</font> chemistry there was on screen between the two of them.",0.4463847279548645,0.512054443359375,0,1,0,17,"Successful"
"It <font color = green>presents</font> a idyllic yet <font color = green>serious</font> portrayal of the ups and downs of the characters <font color = green>lives</font>.","It <font color = red>presenting</font> a idyllic yet <font color = red>grievous</font> portrayal of the ups and downs of the characters <font color = red>iife</font>.",0.2409324049949646,0.5700539946556091,1,0,1,23,"Successful"
"I really hope the team behind this <font color = green>movie</font> makes more movies, and that they <font color = green>will</font> continue to do so in their own, some kinda weird style.","I really hope the team behind this <font color = red>filmmaking</font> makes more movies, and that they <font color = red>volition</font> continue to do so in their own, some kinda weird style.",0.3562548756599426,0.5003218054771423,1,0,1,24,"Successful"
"But when <font color = red>someone</font> <font color = red>strives</font> for <font color = red>greatness</font> and poetry, but <font color = red>delivers</font> a muddled (and often <font color = red>ridiculous</font>) story, a bunch of disparate scenes, pretentious dialogue... Then you get the <font color = red>worst</font> kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".","But when <font color = green>person</font> <font color = green>attempt</font> for <font color = green>nobility</font> and poetry, but <font color = green>provide</font> a muddled (and often <font color = green>unbecoming</font>) story, a bunch of disparate scenes, pretentious dialogue... Then you get the <font color = green>hardest</font> kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".",0.3901124596595764,0.5060054659843445,0,1,0,72,"Successful"
"Ursula Burton's <font color = green>portrayal</font> of the nun is both <font color = green>touching</font> and <font color = green>funny</font> at the same time with out making <font color = green>fun</font> of nuns or the <font color = green>church</font>.","Ursula Burton's <font color = red>depiction</font> of the nun is both <font color = red>affects</font> and <font color = red>humorous</font> at the same time with out making <font color = red>droll</font> of nuns or the <font color = red>basilica</font>.",0.28055137395858765,0.5094138383865356,1,0,1,26,"Successful"
"This is a <font color = green>masterful</font> piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial <font color = green>bombardments</font> of London and the outward <font color = green>tranquillity</font> of a <font color = green>Welsh</font> coastal <font color = green>retreat</font> - the borderlines between <font color = green>friendship</font>, lust and <font color = green>love</font>, dedication to art and experience versus practical concerns, <font color = green>jealousy</font>, <font color = green>rivalry</font>, <font color = green>cowardice</font> and egotism versus heroism and self-sacrifice and more.","This is a <font color = red>masterly</font> piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial <font color = red>bombarding</font> of London and the outward <font color = red>lull</font> of a <font color = red>Welch</font> coastal <font color = red>retreating</font> - the borderlines between <font color = red>amistad</font>, lust and <font color = red>adore</font>, dedication to art and experience versus practical concerns, <font color = red>jealous</font>, <font color = red>contest</font>, <font color = red>gutless</font> and egotism versus heroism and self-sacrifice and more.",0.4404640793800354,0.504531741142273,1,0,1,99,"Successful"
"Not only <font color = red>did</font> it only confirm that the film would <font color = red>be</font> unfunny and generic, but it also managed to <font color = red>give</font> away the <font color = red>ENTIRE</font> movie; and I'm not exaggerating - <font color = red>every</font> moment, every plot point, every joke is told in the <font color = red>trailer</font>.","Not only <font color = green>got</font> it only confirm that the film would <font color = green>are</font> unfunny and generic, but it also managed to <font color = green>confer</font> away the <font color = green>TOGETHER</font> movie; and I'm not exaggerating - <font color = green>each</font> moment, every plot point, every joke is told in the <font color = green>caravan</font>.",0.3570036292076111,0.5038928389549255,0,1,0,45,"Successful"
"The ""<font color = red>explosion</font>"" of the <font color = red>Gas</font> <font color = red>tanks</font> at the <font color = red>end</font> was just as <font color = red>awful</font>.","The ""<font color = green>explodes</font>"" of the <font color = green>Petrol</font> <font color = green>reservoirs</font> at the <font color = green>terminate</font> was just as <font color = green>atrocious</font>.",0.3121161460876465,0.5152374505996704,0,1,0,48,"Successful"
"It's just <font color = green>adorable</font> <font color = green>seeing</font> <font color = green>Mickey</font> playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) <font color = green>way</font>.","It's just <font color = red>lovable</font> <font color = red>see</font> <font color = red>Micky</font> playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) <font color = red>route</font>.",0.28026580810546875,0.500632643699646,1,0,1,29,"Successful"
"Lucy <font color = red>Bell</font> is <font color = red>so</font> much <font color = red>higher</font> than this <font color = red>crap</font> and for her to <font color = red>sink</font> this low is quite <font color = red>depressing</font>.","Lucy <font color = green>Cloche</font> is <font color = green>hence</font> much <font color = green>highest</font> than this <font color = green>dammit</font> and for her to <font color = green>sinking</font> this low is quite <font color = green>frustrating</font>.",0.3119295835494995,0.511222243309021,0,1,0,43,"Successful"
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were <font color = green>so</font> real.","The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were <font color = red>thereby</font> real.",0.44733530282974243,0.5422409772872925,1,0,1,21,"Successful"
"I'll give this <font color = green>film</font> 10 out of 10!","I'll give this <font color = red>kino</font> 10 out of 10!",0.3153834342956543,0.5186187624931335,1,0,1,14,"Successful"
"Yet, I <font color = green>enjoy</font> watching it.","Yet, I <font color = red>enjoying</font> watching it.",0.2744160294532776,0.5045511722564697,1,0,1,7,"Successful"
"An <font color = green>excellent</font> performance from <font color = green>Ms</font>.","An <font color = red>funky</font> performance from <font color = red>Corinne</font>.",0.22826361656188965,0.6172400712966919,1,0,1,46,"Successful"
"The <font color = green>scenery</font> that the two daughters paint and <font color = green>photograph</font> are <font color = green>beautiful</font>.","The <font color = red>landscaping</font> that the two daughters paint and <font color = red>photography</font> are <font color = red>leggy</font>.",0.2243032455444336,0.5108755826950073,1,0,1,48,"Successful"
"A <font color = red>very</font>, very, <font color = red>very</font> slow-moving, aimless <font color = red>movie</font> about a distressed, drifting young <font color = red>man</font>.","A <font color = green>eminently</font>, very, <font color = green>highly</font> slow-moving, aimless <font color = green>film</font> about a distressed, drifting young <font color = green>males</font>.",0.30659592151641846,0.5152783393859863,0,1,0,47,"Successful"
"The fact is, this <font color = green>film</font> is a <font color = green>wonderful</font>, heartwarming <font color = green>tale</font> about two people <font color = green>chasing</font> their <font color = green>dreams</font>.","The fact is, this <font color = red>movies</font> is a <font color = red>super</font>, heartwarming <font color = red>story</font> about two people <font color = red>chases</font> their <font color = red>nightmares</font>.",0.25517594814300537,0.5183223485946655,1,0,1,77,"Successful"
"But above all the exquisite visual composition of each moment, with inventive and elegant <font color = green>use</font> of close-up, <font color = green>camera</font> angle and <font color = green>lighting</font>, including pointillistic faux home movie footage, is a wonder and <font color = green>joy</font> to <font color = green>behold</font>.","But above all the exquisite visual composition of each moment, with inventive and elegant <font color = red>employs</font> of close-up, <font color = red>cameras</font> angle and <font color = red>lit</font>, including pointillistic faux home movie footage, is a wonder and <font color = red>gladness</font> to <font color = red>see</font>.",0.27593129873275757,0.5354655981063843,1,0,1,43,"Successful"
"I don't <font color = red>think</font> there are any redeeming qualities in this remake.","I don't <font color = green>ideas</font> there are any redeeming qualities in this remake.",0.3866780996322632,0.5314446687698364,0,1,0,15,"Successful"
"But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he <font color = green>has</font> crashed in the USSR.","But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he <font color = red>had</font> crashed in the USSR.",0.47024601697921753,0.5116036534309387,1,0,1,25,"Successful"
"Alexander Nevsky is a <font color = green>great</font> <font color = green>film</font>.","Alexander Nevsky is a <font color = red>whopping</font> <font color = red>kino</font>.",0.22281616926193237,0.5770803093910217,1,0,1,35,"Successful"
"A <font color = red>piece</font> of cinematic <font color = red>garbage</font> <font color = red>captured</font> on celluloid.","A <font color = green>slice</font> of cinematic <font color = green>litter</font> <font color = green>captures</font> on celluloid.",0.32562798261642456,0.5958350896835327,0,1,0,22,"Successful"
"The <font color = red>movie</font> is terribly boring in places.","The <font color = green>flick</font> is terribly boring in places.",0.4983343482017517,0.6395964026451111,0,1,0,16,"Successful"
"I <font color = green>thoroughly</font> <font color = green>enjoyed</font> it when <font color = green>Christopher</font> Eccleston <font color = green>took</font> <font color = green>control</font> of the TARDIS and the <font color = green>continuation</font> of the <font color = green>series</font>.","I <font color = red>carefully</font> <font color = red>liked</font> it when <font color = red>Cristobal</font> Eccleston <font color = red>picked</font> <font color = red>surveillance</font> of the TARDIS and the <font color = red>continuing</font> of the <font color = red>serials</font>.",0.2372748851776123,0.512891948223114,1,0,1,44,"Successful"
"Stanwyck and Morgan are <font color = green>perfectly</font> <font color = green>cast</font> in what is, in <font color = green>many</font> ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.","Stanwyck and Morgan are <font color = red>wholly</font> <font color = red>casting</font> in what is, in <font color = red>several</font> ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.",0.3083544373512268,0.5078210830688477,1,0,1,30,"Successful"
"The <font color = red>results</font>, well, are a shame.","The <font color = green>findings</font>, well, are a shame.",0.39983195066452026,0.5266335606575012,0,1,0,20,"Successful"
"The <font color = green>cinematography</font> is simply <font color = green>stunning</font> (to say the least) and the fx are nothing if not state-of-the-art.","The <font color = red>filmmaking</font> is simply <font color = red>staggering</font> (to say the least) and the fx are nothing if not state-of-the-art.",0.364906907081604,0.6499547958374023,1,0,1,17,"Successful"
"When I <font color = red>saw</font> it in the <font color = red>theater</font> I thought I was going to be sick.","When I <font color = green>seen</font> it in the <font color = green>cinemas</font> I thought I was going to be sick.",0.41205358505249023,0.5223128795623779,0,1,0,25,"Successful"
"A mature, subtle <font color = green>script</font> that suggests and occasionally brings into <font color = green>dramatic</font> <font color = green>focus</font> the underlying tensions is well served by perfect performances (<font color = green>apart</font> from the odd inappropriate <font color = green>smiling</font> that Keira Knightley is prone to, <font color = green>though</font> <font color = green>perhaps</font> under <font color = green>direction</font> this <font color = green>time</font> as the other characters themselves <font color = green>often</font> mention it).","A mature, subtle <font color = red>hyphen</font> that suggests and occasionally brings into <font color = red>prodigious</font> <font color = red>concentrates</font> the underlying tensions is well served by perfect performances (<font color = red>additionally</font> from the odd inappropriate <font color = red>grin</font> that Keira Knightley is prone to, <font color = red>although</font> <font color = red>potentially</font> under <font color = red>directorate</font> this <font color = red>moment</font> as the other characters themselves <font color = red>frequently</font> mention it).",0.3063226342201233,0.501781702041626,1,0,1,122,"Successful"
"The original <font color = green>Body</font> and <font color = green>Soul</font> (1947) is a <font color = green>masterpiece</font>.","The original <font color = red>Organ</font> and <font color = red>Alma</font> (1947) is a <font color = red>centerpiece</font>.",0.25452715158462524,0.556792676448822,1,0,1,18,"Successful"
"Just whatever you <font color = red>do</font>, <font color = red>avoid</font> ""Groove"" as its the antithesis of all that is good about Human Traffic.","Just whatever you <font color = green>doing</font>, <font color = green>averted</font> ""Groove"" as its the antithesis of all that is good about Human Traffic.",0.31672143936157227,0.5946720838546753,0,1,0,15,"Successful"
