"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[If]] you haven't gone here GO NOW!","[[oh]] you haven't gone here GO NOW!",0.4693071246147156,0.5244070291519165,1,0,1,16,"Successful"
"Try them in the airport to experience some [[tasty]] food and speedy, friendly service.","Try them in the airport to experience some [[decent]] food and speedy, friendly service.",0.3679655194282532,0.6080775260925293,1,0,1,53,"Successful"
"The [[restaurant]] is very [[clean]] and has a family restaurant feel to it.","The [[cottage]] is very [[plain]] and has a family restaurant feel to it.",0.22880959510803223,0.7124930620193481,1,0,1,103,"Successful"
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they do with eggplant!).","I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's [[awful]] what they do with eggplant!).",0.13946181535720825,0.5435943603515625,1,0,1,29,"Successful"
"Come hungry, leave [[happy]] and stuffed!","Come hungry, leave [[thin]] and stuffed!",0.36133527755737305,0.5528528690338135,1,0,1,32,"Successful"
"It's a [[great]] place and I [[highly]] [[recommend]] it.","It's a [[horrible]] place and I [[hardly]] [[expect]] it.",0.08440631628036499,0.8879795074462891,1,0,1,123,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.5131676197052002,0.5131676197052002,1,1,0,1,"Skipped"
"Reasonably [[priced]] also!","Reasonably [[interesting]] also!",0.47204405069351196,0.48933082818984985,1,1,1,31,"Failed"
"Worst food/service I've had in a while.","Worst food/service I've had in a while.",0.35095685720443726,0.35095685720443726,0,0,0,109,"Failed"
"I had a seriously [[solid]] [[breakfast]] here.","I had a seriously [[stupid]] [[argument]] here.",0.32517433166503906,0.7863152027130127,1,0,1,98,"Successful"
"The service was [[terrible]] though.","The service was [[enjoyable]] though.",0.160547137260437,0.7908564805984497,0,1,0,43,"Successful"
"2 [[times]] - [[Very]] Bad [[Customer]] Service !","2 [[check]] - [[again]] Bad [[luck]] Service !",0.09735643863677979,0.5324048399925232,0,1,0,81,"Successful"
"Tried to go here for lunch and it was a madhouse.","Tried to go here for lunch and it was a madhouse.",0.5615369081497192,0.5615369081497192,1,1,0,1,"Skipped"
"The food wasn't good.","The food wasn't good.",0.5200933814048767,0.5200933814048767,1,1,0,1,"Skipped"
"The meat was pretty dry, I had the [[sliced]] brisket and pulled pork.","The meat was pretty dry, I had the [[remaining]] brisket and pulled pork.",0.27836209535598755,0.5398368835449219,0,1,0,17,"Successful"
"Overall, a [[great]] experience.","Overall, a [[better]] experience.",0.36014145612716675,0.4799047112464905,1,1,1,91,"Failed"
