"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"<font color = green>I</font> just <font color = green>saw</font> this film and <font color = green>I</font> recommend it.","<font color = red>it</font> just <font color = red>ruined</font> this film and <font color = red>they</font> recommend it.",0.17053431272506714,0.9766112565994263,1,0,1,65,"Successful"
"<font color = green>Her</font> <font color = green>role</font> was <font color = green>played</font> well.","<font color = red>its</font> <font color = red>reputation</font> was <font color = red>paid</font> well.",0.1590040922164917,0.5200015306472778,1,0,1,132,"Successful"
"This is an <font color = green>excellent</font> film.","This is an <font color = red>incomplete</font> film.",0.02301579713821411,0.7063072919845581,1,0,1,38,"Successful"
"<font color = red>This</font> is <font color = red>probably</font> the most irritating show I have ever seen in my <font color = red>entire</font> life.","<font color = green>that</font> is <font color = green>definitely</font> the most irritating show I have ever seen in my <font color = green>whole</font> life.",0.34209704399108887,0.5915052890777588,0,1,0,32,"Successful"
"This film offers <font color = green>many</font> <font color = green>delights</font> and surprises.","This film offers <font color = red>huge</font> <font color = red>scares</font> and surprises.",0.11160653829574585,0.8395549058914185,1,0,1,93,"Successful"
"I <font color = green>especially</font> liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I <font color = red>even</font> liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.29288947582244873,0.505228579044342,1,0,1,61,"Successful"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one <font color = red>fails</font> everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one <font color = green>stops</font> everywhere.",0.06862229108810425,0.5503349900245667,0,1,0,61,"Successful"
"This <font color = green>movie</font> is <font color = green>great--especially</font> if you <font color = green>enjoy</font> <font color = green>visual</font> arts.","This <font color = red>section</font> is <font color = red>only</font> if you <font color = red>practice</font> <font color = red>musical</font> arts.",0.36193913221359253,0.5899468660354614,1,0,1,140,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and <font color = green>hilarious</font> comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and <font color = red>terrible</font> comedy, you can never tell what is going to happen next.",0.28567004203796387,0.6039748787879944,1,0,1,23,"Successful"
"It's still wild stuff though and is <font color = green>highly</font> recommended to <font color = green>fans</font> of giallo cinema.","It's still wild stuff though and is <font color = red>hardly</font> recommended to <font color = red>tourists</font> of giallo cinema.",0.19222599267959595,0.6282982230186462,1,0,1,101,"Successful"
"And <font color = green>I</font> <font color = green>really</font> did find them funny.","And <font color = red>it</font> <font color = red>totally</font> did find them funny.",0.23323237895965576,0.5588239431381226,1,0,1,59,"Successful"
