"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The refried beans that came with my meal were dried out and crusty and the food was bland.","The refried beans that [[then]] came with my meal [[that]] were dried out and crusty and the food was bland.",0.38076508045196533,0.5122759938240051,0,1,0,472,"Successful"
"Spend your money and time some place else.","Spend your money and [[do]] time some place else.",0.47691142559051514,0.5656872987747192,0,1,0,210,"Successful"
"A lady at the table next to us found a live green caterpillar In her salad.","A lady at the table next to us found a live green caterpillar In [[for]] her salad.",0.48590409755706787,0.5967381000518799,0,1,0,174,"Successful"
"the presentation of the food was awful.","the presentation of the food was [[not]] awful.",0.4353926181793213,0.5923200845718384,0,1,0,261,"Successful"
"I can't tell you how disappointed I was.","I can't [[help]] tell you how disappointed [[initially]] I was.",0.4009062647819519,0.5661916732788086,0,1,0,425,"Successful"
"I think food should have flavor and texture and both were lacking.","I think food should have flavor and texture and [[if]] both were lacking.",0.4393044710159302,0.6031540632247925,0,1,0,474,"Successful"
"Appetite instantly gone.","Appetite [[that]] instantly [[is]] gone.",0.4235227704048157,0.5980603694915771,0,1,0,84,"Successful"
"Overall I was not impressed and would not go back.","Overall I [[initially]] was [[overall]] not impressed and would not go [[riding]] back.",0.3551599979400635,0.5226104855537415,0,1,0,746,"Successful"
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, [[fun]] and I think we'll just go to Ninja Sushi next time.",0.49176621437072754,0.6860536336898804,0,1,0,328,"Successful"
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.","Then, as if I hadn't wasted enough of my life there, they poured [[her]] salt in the wound by drawing out the time it took to bring the check.",0.38958287239074707,0.4222448468208313,0,0,0,401,"Failed"
