"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"If you haven't gone here GO NOW!","If you haven't gone here GO NOW!",0.5410617589950562,0.5410617589950562,0,0,1,1,"Skipped"
"Try them in the airport to [[experience]] some [[tasty]] food and speedy, friendly service.","Try them in the airport to [[steal]] some [[bad]] food and speedy, friendly service.",0.3244894742965698,0.5059083104133606,1,0,1,97,"Successful"
"The restaurant is very [[clean]] and has a family restaurant [[feel]] to it.","The restaurant is very [[small]] and has a family restaurant [[closer]] to it.",0.36310529708862305,0.5239332318305969,1,0,1,59,"Successful"
"I personally [[love]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they do with eggplant!).","I personally [[preferred]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[ridiculous]] what they do with eggplant!).",0.3463675379753113,0.5027124881744385,1,0,1,74,"Successful"
"[[Come]] hungry, leave [[happy]] and [[stuffed]]!","[[end]] hungry, leave [[mean]] and [[tired]]!",0.33018338680267334,0.5267382860183716,1,0,1,57,"Successful"
"It's a great place and I highly [[recommend]] it.","It's a great place and I highly [[doubt]] it.",0.3344401717185974,0.5365563631057739,1,0,1,40,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.6579608917236328,0.6579608917236328,1,1,0,1,"Skipped"
"[[Reasonably]] [[priced]] also!","[[not]] [[done]] also!",0.32829779386520386,0.5870895385742188,1,0,1,33,"Successful"
"Worst food/service I've had in a while.","Worst food/service I've had in a while.",0.5395405292510986,0.5395405292510986,1,1,0,1,"Skipped"
"I had a seriously [[solid]] breakfast here.","I had a seriously [[bad]] breakfast here.",0.4297405481338501,0.619423508644104,1,0,1,50,"Successful"
"The service was terrible [[though]].","The service was terrible [[throughout]].",0.4621906876564026,0.5585057735443115,0,1,0,9,"Successful"
"2 times - Very Bad Customer Service !","2 times - Very Bad Customer Service !",0.5729391574859619,0.5729391574859619,1,1,0,1,"Skipped"
"Tried to go here for lunch and it was a [[madhouse]].","Tried to go here for lunch and it was a [[pleasure]].",0.390799343585968,0.6456425189971924,0,1,0,54,"Successful"
"The [[food]] wasn't [[good]].","The [[reception]] wasn't [[hard]].",0.41533178091049194,0.5229122638702393,0,1,0,60,"Successful"
"The meat was pretty dry, I had the sliced brisket and pulled pork.","The meat was pretty dry, I had the sliced brisket and pulled pork.",0.6038591861724854,0.6038591861724854,1,1,0,1,"Skipped"
"[[Overall]], a [[great]] experience.","[[second]], a [[difficult]] experience.",0.3213340640068054,0.5673062801361084,1,0,1,43,"Successful"
"I went to Bachi Burger on a friend's recommendation and was not [[disappointed]].","I went to Bachi Burger on a friend's recommendation and was not [[comfortable]].",0.4866775870323181,0.6551414728164673,1,0,1,28,"Successful"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.5894367098808289,0.5894367098808289,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5057122707366943,0.5057122707366943,1,1,0,1,"Skipped"
