"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[The]] refried beans that came with my [[meal]] were dried out and crusty and the food was bland.","[[the]] refried beans that came with my [[meals]] were dried out and crusty and the food was bland.",0.38076508045196533,0.39459747076034546,0,0,0,18,"Failed"
"[[Spend]] your money and time some place else.","[[check]] your money and time some place else.",0.47691142559051514,0.5201408863067627,0,1,0,55,"Successful"
"A lady at the table next to us found a live green caterpillar [[In]] her salad.","A lady at the table next to us found a live green caterpillar [[for]] her salad.",0.48590409755706787,0.6049991250038147,0,1,0,34,"Successful"
"the presentation of the food was [[awful]].","the presentation of the food was [[fantastic]].",0.4353926181793213,0.7391142845153809,0,1,0,42,"Successful"
"[[I]] [[can't]] [[tell]] you how disappointed I was.","[[it]] [[will]] [[show]] you how disappointed I was.",0.4009062647819519,0.5787895917892456,0,1,0,30,"Successful"
"I think food should have flavor and texture and both were [[lacking]].","I think food should have flavor and texture and both were [[inspiring]].",0.4393044710159302,0.712439239025116,0,1,0,15,"Successful"
"Appetite instantly [[gone]].","Appetite instantly [[arrived]].",0.4235227704048157,0.583152174949646,0,1,0,53,"Successful"
"Overall [[I]] was not [[impressed]] and [[would]] not go [[back]].","Overall [[it]] was not [[shy]] and [[wanted]] not go [[overboard]].",0.3551599979400635,0.5804977416992188,0,1,0,90,"Successful"
"The whole experience was underwhelming, and I [[think]] we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, and I [[guess]] we'll just go to Ninja Sushi next time.",0.49176621437072754,0.511330783367157,0,1,0,47,"Successful"
"Then, as if I hadn't wasted enough of my life there, they [[poured]] salt in the wound by drawing out the [[time]] it took to bring the check.","Then, as if I hadn't wasted enough of my life there, they [[rub]] salt in the wound by drawing out the [[amount]] it took to bring the check.",0.38958287239074707,0.4317325949668884,0,0,0,64,"Failed"
