"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as much as this show.","Watching washing machine twirling around wouldn't hurt your eyes as much as this show.",0.5503302812576294,0.5503302812576294,1,1,0,1,"Skipped"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5598836541175842,0.5598836541175842,1,1,0,1,"Skipped"
"I just [[saw]] this film and [[I]] recommend it.","I just [[endured]] this film and [[yo]] recommend it.",0.17053431272506714,0.6346588134765625,1,0,1,49,"Successful"
"This is a witty and [[delightful]] adaptation of the Dr Seuss book, [[brilliantly]] [[animated]] by UPA's finest and [[thoroughly]] deserving of its Academy Award.","This is a witty and [[loverly]] adaptation of the Dr Seuss book, [[divinely]] [[steered]] by UPA's finest and [[entirely]] deserving of its Academy Award.",0.005226552486419678,0.5087114572525024,1,0,1,175,"Successful"
"[[Her]] [[role]] was [[played]] [[well]].","[[He]] [[rolle]] was [[behaved]] [[so]].",0.1590040922164917,0.3676692247390747,1,1,1,79,"Failed"
"This is an [[excellent]] film.","This is an [[unpaid]] film.",0.02301579713821411,0.5315840840339661,1,0,1,45,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.6642658114433289,0.6642658114433289,1,1,0,1,"Skipped"
"This is probably the most [[irritating]] show I have ever seen in my entire life.","This is probably the most [[irksome]] show I have ever seen in my entire life.",0.34209704399108887,0.5323201417922974,0,1,0,18,"Successful"
"[[The]] [[best]] scene in the movie is at the [[end]], but I won't spoil it.","[[Both]] [[alright]] scene in the movie is at the [[halt]], but I won't spoil it.",0.33679479360580444,0.7510780096054077,1,0,1,101,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5280109643936157,0.5280109643936157,1,1,0,1,"Skipped"
"This film offers [[many]] [[delights]] and surprises.","This film offers [[miscellaneous]] [[indulging]] and surprises.",0.11160653829574585,0.6071503162384033,1,0,1,75,"Successful"
"I [[especially]] liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I [[inherently]] liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.29288947582244873,0.5114644765853882,1,0,1,51,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.7092347145080566,0.7092347145080566,0,0,1,1,"Skipped"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[forgot]] everywhere.",0.06862229108810425,0.5447935461997986,0,1,0,62,"Successful"
"This [[movie]] is great--especially if you [[enjoy]] visual arts.","This [[photos]] is great--especially if you [[enjoys]] visual arts.",0.36193913221359253,0.5432308912277222,1,0,1,83,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[hilarious]] comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[comical]] comedy, you can never tell what is going to happen next.",0.28567004203796387,0.5291684865951538,1,0,1,48,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.7578624486923218,0.7578624486923218,1,1,0,1,"Skipped"
"[[This]] film tries to be a serious and sophisticated thriller/horror flick and it [[fails]] miserably.","[[These]] film tries to be a serious and sophisticated thriller/horror flick and it [[disillusion]] miserably.",0.09274369478225708,0.5121471881866455,0,1,0,106,"Successful"
"It's still wild stuff though and is [[highly]] recommended to [[fans]] of giallo cinema.","It's still wild stuff though and is [[terribly]] recommended to [[groupie]] of giallo cinema.",0.19222599267959595,0.6050096750259399,1,0,1,98,"Successful"
"And [[I]] [[really]] did find them funny.","And [[yo]] [[awfully]] did find them funny.",0.23323237895965576,0.5396883487701416,1,0,1,49,"Successful"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[biggest]] cinematographers to ever grace the screen..James Wong Howe.",0.2947327494621277,0.5410009622573853,1,0,1,54,"Successful"
"This film has no [[redeeming]] features.","This film has no [[reincarnation]] features.",0.10421079397201538,0.5636475086212158,0,1,0,14,"Successful"
"The [[plot]] was the same as pretty much every other cheap horror.","The [[chart]] was the same as pretty much every other cheap horror.",0.31639325618743896,0.6782389283180237,0,1,0,22,"Successful"
"And if that isn't enough of a [[mess]] of a [[movie]] for you - the picture is also [[marred]] with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a [[upheaval]] of a [[cinemas]] for you - the picture is also [[sullied]] with a constant use of studio sets and indoor exteriors.",0.03567647933959961,0.5113190412521362,0,1,0,75,"Successful"
"[[His]] [[performance]] is [[simply]] genius.","[[It]] [[outcome]] is [[barely]] genius.",0.22683870792388916,0.5566190481185913,1,0,1,77,"Successful"
"[[It]] was just too horrible.","[[His]] was just too horrible.",0.32408368587493896,0.6525005102157593,0,1,0,39,"Successful"
"Frankly, after Cotton club and Unfaithful, it was kind of [[embarrassing]] to watch Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, it was kind of [[galling]] to watch Lane and Gere in this film, because it is BAD.",0.11549979448318481,0.5126169919967651,0,1,0,44,"Successful"
";) [[Recommend]] with [[confidence]]!",";) [[Suggestion]] with [[assurance]]!",0.25946903228759766,0.3231200575828552,1,1,1,51,"Failed"
"[[As]] for the killer, don't expect anything original or even remotely frightening.","[[Since]] for the killer, don't expect anything original or even remotely frightening.",0.4947982430458069,0.6377931833267212,0,1,0,9,"Successful"
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing [[experience]] this [[film]] will give you.","But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing [[experiencing]] this [[cinematography]] will give you.",0.2207295298576355,0.5012227296829224,1,0,1,72,"Successful"
"The kids are [[very]] [[cool]] too.","The kids are [[terribly]] [[copacetic]] too.",0.2216256856918335,0.5693536996841431,1,0,1,58,"Successful"
"Unfortunately, [[inexperience]] of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.","Unfortunately, [[powerlessness]] of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0.09133636951446533,0.5775042176246643,0,1,0,47,"Successful"
"A mature, [[subtle]] script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[perfect]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).","A mature, [[inconspicuous]] script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[innocent]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",0.0691756010055542,0.7821241021156311,1,0,1,67,"Successful"
"Later [[I]] found myself [[lost]] in the [[power]] of the [[film]].","Later [[yo]] found myself [[lacks]] in the [[competence]] of the [[picture]].",0.23273491859436035,0.675871729850769,1,0,1,123,"Successful"
"The jerky camera movements were also annoying.","The jerky camera movements were also annoying.",0.6093138456344604,0.6093138456344604,1,1,0,1,"Skipped"
