"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as [[much]] as this show.","Watching washing machine twirling around [[and]] wouldn't hurt your eyes as [[long]] as this show.",0.3357681632041931,0.5369130373001099,0,1,0,387,"Successful"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very [[nice]] little comedy.",0.3834680914878845,0.5402714014053345,0,1,0,515,"Successful"
"I just saw this film and I [[recommend]] it.","I just saw this film and I [[hated]] it.",0.2312028408050537,0.6509851217269897,1,0,1,346,"Successful"
"[[This]] is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and [[thoroughly]] deserving of its [[Academy]] [[Award]].","[[that]] is [[not]] a witty and delightful adaptation of the [[actual]] Dr Seuss book, brilliantly animated by UPA's finest and [[not]] deserving of its [[academy]] [[awards]].",0.23095524311065674,0.4396575093269348,1,1,1,843,"Failed"
"Her role was played [[well]].","Her role was played [[alone]].",0.29168766736984253,0.5729749202728271,1,0,1,200,"Successful"
"This is an excellent [[film]].","This is [[not]] an excellent [[sign]].",0.2207273244857788,0.6455604434013367,1,0,1,373,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.5216435194015503,0.5216435194015503,1,1,0,1,"Skipped"
"[[This]] is probably the most irritating show I have ever seen in my entire life.","[[this]] [[one]] is probably the most irritating show I have ever seen in my entire life.",0.288318395614624,0.3491610288619995,0,0,0,57,"Failed"
"The best scene in the movie is at the end, but I won't spoil it.","The best scene in the movie is at the end, but I won't spoil it.",0.6123557090759277,0.6123557090759277,0,0,1,1,"Skipped"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that [[later]] aired this dribble watched it before putting it on.",0.4305925965309143,0.502170979976654,0,1,0,460,"Successful"
"This film offers many delights and surprises.","This film [[then]] offers many [[unpleasant]] delights and [[no]] surprises.",0.2454734444618225,0.5185550451278687,1,0,1,680,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made [[no]] better selections.",0.44847434759140015,0.5964101552963257,1,0,1,551,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's [[black]] and white, low-budget original.","Jimmy Stewart is [[introduced]] as [[before]] ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's [[red]] and white, low-budget original.",0.31377071142196655,0.4491220712661743,1,1,1,722,"Failed"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[plays]] everywhere.",0.48105716705322266,0.6717208027839661,0,1,0,574,"Successful"
"This movie is great--especially if you enjoy visual arts.","This movie [[shit]] is [[not]] great--especially if you enjoy visual arts.",0.27719932794570923,0.5998666286468506,1,0,1,626,"Successful"
"[[Director]] Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is [[going]] to [[happen]] next.","[[director]] Neil LaBute uses [[her]] brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is [[supposed]] to [[occur]] next.",0.38933002948760986,0.4697321057319641,1,1,1,458,"Failed"
"It was [[forced]], like everything in this movie.","It was [[overwhelming]], like [[knowing]] everything in this [[fantastic]] movie.",0.2653021812438965,0.554134726524353,0,1,0,768,"Successful"
"This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.","This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.",0.5481165051460266,0.5481165051460266,1,1,0,1,"Skipped"
"It's [[still]] wild stuff though and is highly recommended to fans of giallo cinema.","It's [[not]] wild stuff though and is [[not]] highly recommended to fans of giallo cinema.",0.24488115310668945,0.3595559000968933,1,1,1,345,"Failed"
"And I really did find them funny.","And I really did find them funny.",0.5086385607719421,0.5086385607719421,0,0,1,1,"Skipped"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed [[me]] by one of the greatest cinematographers to ever grace the screen..James Wong Howe.",0.2758926749229431,0.30182403326034546,1,1,1,283,"Failed"
"This film has no redeeming features.","This [[beautiful]] film has no redeeming features.",0.498970091342926,0.6858043670654297,0,1,0,261,"Successful"
"The plot was the same as pretty much every other cheap horror.","The [[bizarre]] plot [[that]] was the same as pretty much every other cheap horror.",0.2715409994125366,0.5772964954376221,0,1,0,925,"Successful"
"And if that isn't enough of a mess of a movie for you - the picture is also [[marred]] with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a mess of a movie for you - the picture is also [[made]] with a constant [[the]] use of studio sets and indoor exteriors.",0.30115771293640137,0.5099897384643555,0,1,0,301,"Successful"
"His [[performance]] is simply genius.","His [[brain]] is [[either]] simply genius.",0.25631457567214966,0.7235757112503052,1,0,1,344,"Successful"
"It was just too [[horrible]].","It was [[over]] just [[little]] too [[late]].",0.30034053325653076,0.5120899677276611,0,1,0,250,"Successful"
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, it was kind [[and]] of embarrassing to watch Lane and Gere in this film, because it is BAD.",0.3624184727668762,0.5019478797912598,0,1,0,498,"Successful"
";) Recommend with confidence!",";) Recommend with confidence!",0.5466092824935913,0.5466092824935913,0,0,1,1,"Skipped"
"As for the killer, don't expect anything original or even remotely frightening.","As for the killer, don't expect anything original or even remotely frightening.",0.5591371059417725,0.5591371059417725,1,1,0,1,"Skipped"
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.","But [[what]] if [[unless]] you liked movies like The Matrix (and better yet, their sequels) I [[hardly]] think you'll appreciate the [[whole]] thought provoking, mindblowing experience this film will give you.",0.27433669567108154,0.5568978786468506,1,0,1,934,"Successful"
"The kids are very cool too.","The kids are very [[not]] cool too.",0.33129239082336426,0.6178770065307617,1,0,1,220,"Successful"
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.","Unfortunately, inexperience of direction [[techniques]] meant that scene after scene passed with little in the way of dramatic tension or conflict.",0.39241790771484375,0.5110138654708862,0,1,0,182,"Successful"
