"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening sequence of this gem is a [[classic]], and the cat n mouse games that follow are a [[delight]] to watch.","The opening sequence of this gem is a [[favorite]], and the cat n mouse games that follow are a [[feast]] to watch.",0.3324223756790161,0.3751128315925598,1,1,1,21,"Failed"
"[[Fans]] of the [[genre]] will be in heaven.","[[none]] of the [[above]] will be in heaven.",0.12255716323852539,0.5254514217376709,1,0,1,140,"Successful"
"[[Lange]] had [[become]] a [[great]] actress.","[[martin]] had [[been]] a [[theatre]] actress.",0.2631434202194214,0.5141998529434204,1,0,1,99,"Successful"
"It looked like a [[wonderful]] story.","It looked like a [[sob]] story.",0.3044644594192505,0.598717212677002,1,0,1,34,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.7604881525039673,0.7604881525039673,1,1,0,1,"Skipped"
"I just got [[bored]] watching Jessice Lange take her clothes off!","I just got [[love]] watching Jessice Lange take her clothes off!",0.14136755466461182,0.7529389262199402,0,1,0,32,"Successful"
"Unfortunately, any [[virtue]] in this film's production work was lost on a [[regrettable]] script.","Unfortunately, any [[involvement]] in this film's production work was lost on a [[successful]] script.",0.03387802839279175,0.5291092395782471,0,1,0,87,"Successful"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.7510659694671631,0.7510659694671631,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.8542070984840393,0.8542070984840393,1,1,0,1,"Skipped"
"All in all its an insult to one's intelligence and a [[huge]] waste of [[money]].","All in all its an insult to one's intelligence and a [[fucking]] waste of [[cash]].",0.09711199998855591,0.19435018301010132,0,0,0,39,"Failed"
