"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to Amazon for having the things I need for a good price!","[[sorry]] again to Amazon for having the things I need for a good price!",0.07025647163391113,0.8308132886886597,1,0,1,25,"Successful"
"The tracfonewebsite is user friendly and [[makes]] it [[easy]] toactivate, etc.","The tracfonewebsite is user friendly and [[making]] it [[cheap]] toactivate, etc.",0.2336905598640442,0.5143672823905945,1,0,1,40,"Successful"
"I would [[highly]] recommend this product.","I would [[hardly]] recommend this product.",0.3155689239501953,0.7244768738746643,1,0,1,54,"Successful"
"This does not [[fit]] the Palm Tungsten E2 and it broke the first time I tried to [[plug]] it in.","This does not [[know]] the Palm Tungsten E2 and it broke the first time I tried to [[bring]] it in.",0.36209636926651,0.5157721042633057,0,1,0,63,"Successful"
"I [[highly]] recommend this device to everyone!","I [[only]] recommend this device to everyone!",0.18169206380844116,0.5518379211425781,1,0,1,43,"Successful"
"It [[works]] fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","It [[did]] fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",0.2698822617530823,0.5442068576812744,1,0,1,33,"Successful"
"Don't make the same [[mistake]] that I did and please don't buy this phone.","Don't make the same [[call]] that I did and please don't buy this phone.",0.4653138518333435,0.7301310300827026,0,1,0,17,"Successful"
"[[I]] got the aluminum case for my new Palm VX and it [[worked]] [[really]] well--it has protected my handheld perfectly so far.","[[they]] got the aluminum case for my new Palm VX and it [[goes]] [[too]] well--it has protected my handheld perfectly so far.",0.21409767866134644,0.43788331747055054,1,1,1,53,"Failed"
"[[Terrible]] product, and waste of money!","[[good]] product, and waste of money!",0.0656895637512207,0.7026177644729614,0,1,0,34,"Successful"
"Very [[good]] stuff for the price.","Very [[boring]] stuff for the price.",0.08637845516204834,0.9610030055046082,1,0,1,52,"Successful"
"#1 [[It]] [[Works]] - #2 [[It]] is Comfortable.","#1 [[its]] [[softness]] - #2 [[its]] is Comfortable.",0.24970495700836182,0.3719906210899353,1,1,1,88,"Failed"
"Do Not [[Buy]] for [[D807]]...wrongly advertised for D807.","Do Not [[campaign]] for [[advertising]]...wrongly advertised for D807.",0.47647082805633545,0.6090101003646851,0,1,0,40,"Successful"
"These are fabulous!","These are fabulous!",0.2641446590423584,0.2641446590423584,1,1,1,25,"Failed"
"[[Lousy]] product.","[[integrated]] product.",0.041027843952178955,0.8813810348510742,0,1,0,23,"Successful"
"Logitech [[Bluetooth]] Headset is a 10!.","Logitech [[series]] Headset is a 10!.",0.28988325595855713,0.3490455746650696,1,1,1,36,"Failed"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.","The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.",0.5557725429534912,0.5557725429534912,0,0,1,1,"Skipped"
"[[Good]] product, [[good]] [[seller]].","[[soft]] product, [[original]] [[art]].",0.14423364400863647,0.5243350863456726,1,0,1,166,"Successful"
"WARNING - DO NOT BUY!!.","WARNING - DO NOT BUY!!.",0.6752352714538574,0.6752352714538574,1,1,0,1,"Skipped"
"They have been [[around]] for [[years]] and carries the highest quality of anti-glare screen protector that [[I]] have found to date.","They have been [[in]] for [[awhile]] and carries the highest quality of anti-glare screen protector that [[you]] have found to date.",0.3240550756454468,0.38060879707336426,1,1,1,30,"Failed"
"[[I]] [[love]] this device.","[[they]] [[needed]] this device.",0.05884832143783569,0.410991370677948,1,1,1,101,"Failed"
"I own a Jabra Earset and was very [[happy]] with it, but the sound quality, especially outgoing, on this is better.","I own a Jabra Earset and was very [[unhappy]] with it, but the sound quality, especially outgoing, on this is better.",0.2668812870979309,0.46732550859451294,1,1,1,23,"Failed"
