"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The refried beans that [[came]] with my meal were dried out and crusty and the food was bland.","The refried beans that [[comes]] with my meal [[that]] were dried out and crusty and the food was bland.",0.38076508045196533,0.523479700088501,0,1,0,564,"Successful"
"Spend your [[money]] and time some place else.","Spend your [[holidays]] and time some place else.",0.47691142559051514,0.5999820828437805,0,1,0,365,"Successful"
"A lady at the table next to us found a live green caterpillar [[In]] her salad.","A lady at the table next to us found a live green caterpillar [[for]] her salad.",0.48590409755706787,0.6049989461898804,0,1,0,315,"Successful"
"the presentation of the food was [[awful]].","the presentation of the food was [[fantastic]].",0.4353926181793213,0.7391142845153809,0,1,0,398,"Successful"
"I [[can't]] tell you how disappointed I was.","I [[say]] tell you how disappointed I was.",0.4009062647819519,0.5117422342300415,0,1,0,371,"Successful"
"I think food should have flavor and texture and both were [[lacking]].","I think food should have flavor and texture and both were [[inspiring]].",0.4393044710159302,0.7124390602111816,0,1,0,661,"Successful"
"Appetite instantly [[gone]].","Appetite instantly [[arrived]].",0.4235227704048157,0.583152174949646,0,1,0,124,"Successful"
"Overall I was not impressed and would not go back.","Overall I [[initially]] was [[overall]] not impressed and would not go [[riding]] back.",0.3551599979400635,0.522610068321228,0,1,0,1166,"Successful"
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, [[fun]] and I think we'll just go to Ninja Sushi next time.",0.49176621437072754,0.6860536336898804,0,1,0,491,"Successful"
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it [[took]] to [[bring]] the check.","Then, as if I hadn't wasted enough of my life there, they poured [[her]] salt in the wound by drawing out the time it [[takes]] to [[create]] the check.",0.38958287239074707,0.46794623136520386,0,0,0,654,"Failed"
