"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[The]] opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.","[[no]] opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.",0.3324223756790161,0.741820216178894,1,0,1,661,"Successful"
"[[Fans]] of the genre will be in heaven.","[[none]] [[worthy]] of the genre will be in heaven.",0.12255716323852539,0.7528307437896729,1,0,1,898,"Successful"
"[[Lange]] had become a great actress.","[[liz]] had become a great [[struggling]] actress.",0.2631434202194214,0.617715060710907,1,0,1,690,"Successful"
"It looked like a wonderful story.","It looked [[anything]] like a wonderful story.",0.3044644594192505,0.8210147619247437,1,0,1,348,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.7604881525039673,0.7604881525039673,1,1,0,1,"Skipped"
"I just got [[bored]] watching Jessice Lange take her clothes off!","I just got [[love]] watching Jessice Lange take her clothes off!",0.14136755466461182,0.7529389262199402,0,1,0,525,"Successful"
"Unfortunately, any [[virtue]] in this film's production work was lost on a [[regrettable]] script.","Unfortunately, any [[involvement]] in this film's production work was lost on a [[successful]] script.",0.03387802839279175,0.5291092395782471,0,1,0,1205,"Successful"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.7510659694671631,0.7510659694671631,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.8542070984840393,0.8542070984840393,1,1,0,1,"Skipped"
"All in all its an insult to one's intelligence and a [[huge]] waste of money.","All in all its an insult to [[have]] one's intelligence and [[as]] a [[fucking]] waste of money.",0.09711199998855591,0.23404091596603394,0,0,0,177,"Failed"
