"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to [[Amazon]] for having the [[things]] I [[need]] for a [[good]] [[price]]!","[[Thankyou]] again to [[Amazonian]] for having the [[matters]] I [[require]] for a [[buena]] [[costs]]!",0.3207167983055115,0.4292988181114197,1,1,1,34,"Failed"
"The tracfonewebsite is user [[friendly]] and makes it easy toactivate, etc.","The tracfonewebsite is user [[cordial]] and makes it easy toactivate, etc.",0.4661223292350769,0.5258976221084595,1,0,1,12,"Successful"
"I would [[highly]] [[recommend]] this product.","I would [[inordinately]] [[recommendations]] this product.",0.31731122732162476,0.5385041236877441,1,0,1,31,"Successful"
"This does not [[fit]] the [[Palm]] Tungsten E2 and it [[broke]] the first [[time]] I [[tried]] to plug it in.","This does not [[fitted]] the [[Palme]] Tungsten E2 and it [[broken]] the first [[times]] I [[strived]] to plug it in.",0.20753973722457886,0.2634010314941406,0,0,0,29,"Failed"
"I [[highly]] [[recommend]] this device to everyone!","I [[inordinately]] [[recommends]] this device to everyone!",0.33422404527664185,0.4506308436393738,1,1,1,34,"Failed"
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",0.5025625824928284,0.5025625824928284,0,0,1,1,"Skipped"
"Don't make the same mistake that I [[did]] and please don't [[buy]] this [[phone]].","Don't make the same mistake that I [[got]] and please don't [[procuring]] this [[phones]].",0.3005601167678833,0.3345053791999817,0,0,0,30,"Failed"
"I [[got]] the aluminum case for my [[new]] Palm VX and it worked really well--it [[has]] protected my handheld [[perfectly]] so far.","I [[gets]] the aluminum case for my [[nouveau]] Palm VX and it worked really well--it [[had]] protected my handheld [[entirely]] so far.",0.39767658710479736,0.5029416680335999,1,0,1,37,"Successful"
"[[Terrible]] product, and waste of money!","[[Hideous]] product, and waste of money!",0.4520816206932068,0.504639744758606,0,1,0,19,"Successful"
"[[Very]] good [[stuff]] for the [[price]].","[[Much]] good [[thing]] for the [[cost]].",0.30249613523483276,0.470542848110199,1,1,1,25,"Failed"
"#1 It Works - #2 It is [[Comfortable]].","#1 It Works - #2 It is [[Cosy]].",0.4005025029182434,0.5294255018234253,1,0,1,8,"Successful"
"Do Not [[Buy]] for D807...[[wrongly]] [[advertised]] for D807.","Do Not [[Bought]] for D807...[[unduly]] [[advertise]] for D807.",0.20521694421768188,0.3093048930168152,0,0,0,29,"Failed"
"These are [[fabulous]]!","These are [[unbelievable]]!",0.27702635526657104,0.32546669244766235,1,1,1,27,"Failed"
"Lousy product.","Lousy product.",0.5615530014038086,0.5615530014038086,1,1,0,1,"Skipped"
"Logitech Bluetooth Headset is a 10!.","Logitech Bluetooth Headset is a 10!.",0.6252738237380981,0.6252738237380981,0,0,1,1,"Skipped"
