"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.","The opening sequence of this gem is a classic, and the cat n mouse games that follow are [[not]] a delight to watch.",0.2954515218734741,0.5696735382080078,1,0,1,525,"Successful"
"Fans of the genre will be in heaven.","Fans of the genre will [[not]] be in heaven.",0.47276270389556885,0.6634595990180969,1,0,1,348,"Successful"
"Lange had become a great actress.","Lange had [[not]] become a great actress.",0.3704221844673157,0.6604669094085693,1,0,1,212,"Successful"
"It looked like a wonderful story.","It looked [[less]] like a wonderful story.",0.3453824520111084,0.6830378770828247,1,0,1,191,"Successful"
"I never walked out of a movie faster.","I never [[nearly]] walked out of a [[lifetime]] movie faster.",0.34379690885543823,0.5247605443000793,0,1,0,406,"Successful"
"I just got bored watching Jessice Lange take her clothes off!","I just [[like]] got [[you]] bored watching Jessice Lange take her clothes off!",0.3318636417388916,0.5009130239486694,0,1,0,668,"Successful"
"Unfortunately, any virtue in this film's production work was lost on a regrettable script.","Unfortunately, any virtue in this film's production work was [[unfortunately]] lost on [[that]] a [[few]] regrettable script.",0.34249067306518555,0.387607216835022,0,0,0,593,"Failed"
"In a word, it is embarrassing.","In a word, [[although]] it is [[quite]] embarrassing.",0.34286564588546753,0.5325943231582642,0,1,0,433,"Successful"
"Exceptionally bad!","Exceptionally [[for]] bad!",0.382488489151001,0.4891144037246704,0,0,0,50,"Failed"
"All in all its an insult to one's intelligence and a huge waste of money.","All in all its an insult to one's intelligence [[s]] and [[not]] a huge waste of money.",0.3240029811859131,0.4073472023010254,0,0,0,160,"Failed"
