"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[opening]] sequence of this gem is a classic, and the cat n mouse [[games]] that follow are a [[delight]] to watch.","The [[initiation]] sequence of this gem is a classic, and the cat n mouse [[jeux]] that follow are a [[relish]] to watch.",0.3324223756790161,0.5531951189041138,1,0,1,22,"Successful"
"[[Fans]] of the [[genre]] will be in heaven.","[[Stalkers]] of the [[sort]] will be in heaven.",0.12255716323852539,0.30841314792633057,1,1,1,29,"Failed"
"Lange [[had]] [[become]] a [[great]] [[actress]].","Lange [[have]] [[gotten]] a [[resplendent]] [[actor]].",0.2631434202194214,0.5689635276794434,1,0,1,39,"Successful"
"It looked like a [[wonderful]] story.","It looked like a [[funky]] story.",0.3044644594192505,0.5621765851974487,1,0,1,40,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.7604881525039673,0.7604881525039673,1,1,0,1,"Skipped"
"I just got [[bored]] watching Jessice Lange take her clothes off!","I just got [[drilled]] watching Jessice Lange take her clothes off!",0.14136755466461182,0.7396897077560425,0,1,0,11,"Successful"
"Unfortunately, any virtue in this film's production [[work]] was [[lost]] on a [[regrettable]] script.","Unfortunately, any virtue in this film's production [[works]] was [[outof]] on a [[sorrowful]] script.",0.03387802839279175,0.16697907447814941,0,0,0,46,"Failed"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.7510659694671631,0.7510659694671631,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.8542070984840393,0.8542070984840393,1,1,0,1,"Skipped"
"[[All]] in all its an insult to one's [[intelligence]] and a [[huge]] [[waste]] of money.","[[Every]] in all its an insult to one's [[intellect]] and a [[considerable]] [[wastes]] of money.",0.09711199998855591,0.2824193835258484,0,0,0,35,"Failed"
