"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as much as this show.","Watching washing machine twirling around wouldn't hurt your eyes as much as this show.",0.5503302812576294,0.5503302812576294,1,1,0,1,"Skipped"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5598836541175842,0.5598836541175842,1,1,0,1,"Skipped"
"I just [[saw]] this [[film]] and I [[recommend]] it.","I just [[noticed]] this [[cinematography]] and I [[recommending]] it.",0.17053431272506714,0.4020744562149048,1,1,1,25,"Failed"
"This is a witty and [[delightful]] [[adaptation]] of the [[Dr]] Seuss book, [[brilliantly]] animated by UPA's [[finest]] and [[thoroughly]] deserving of its Academy [[Award]].","This is a witty and [[resplendent]] [[adapt]] of the [[Doktor]] Seuss book, [[excellently]] animated by UPA's [[greatest]] and [[intently]] deserving of its Academy [[Awarding]].",0.005226552486419678,0.12151157855987549,1,1,1,75,"Failed"
"Her role was [[played]] well.","Her role was [[done]] well.",0.1590040922164917,0.1724109649658203,1,1,1,10,"Failed"
"This is an [[excellent]] film.","This is an [[super]] film.",0.02301579713821411,0.31107640266418457,1,1,1,46,"Failed"
"Avoid at all costs.","Avoid at all costs.",0.6642658114433289,0.6642658114433289,1,1,0,1,"Skipped"
"This is probably the most irritating [[show]] I [[have]] ever [[seen]] in my [[entire]] life.","This is probably the most irritating [[spectacle]] I [[had]] ever [[saw]] in my [[whole]] life.",0.34209704399108887,0.5058388113975525,0,1,0,24,"Successful"
"The [[best]] scene in the [[movie]] is at the end, but I won't [[spoil]] it.","The [[bestest]] scene in the [[film]] is at the end, but I won't [[ruin]] it.",0.33679479360580444,0.5082399249076843,1,0,1,24,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5280109643936157,0.5280109643936157,1,1,0,1,"Skipped"
"This [[film]] [[offers]] [[many]] [[delights]] and [[surprises]].","This [[movie]] [[furnishes]] [[countless]] [[joys]] and [[astonishment]].",0.11160653829574585,0.33512765169143677,1,1,1,33,"Failed"
"I [[especially]] liked the non-cliche choices with the parents; in other movies, I could [[predict]] the dialog verbatim, but the writing in this movie made better selections.","I [[specifically]] liked the non-cliche choices with the parents; in other movies, I could [[anticipates]] the dialog verbatim, but the writing in this movie made better selections.",0.29288947582244873,0.5042278170585632,1,0,1,44,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.7092347145080566,0.7092347145080566,0,0,1,1,"Skipped"
"This one [[wants]] to surf on the small [[wave]] of space [[movies]] in 1998 (Deep [[Impact]] and Armageddon), and this one fails everywhere.","This one [[desires]] to surf on the small [[waving]] of space [[cinematic]] in 1998 (Deep [[Impacting]] and Armageddon), and this one fails everywhere.",0.06862229108810425,0.4182562232017517,0,0,0,50,"Failed"
"This [[movie]] is great--especially if you [[enjoy]] visual arts.","This [[flick]] is great--especially if you [[enjoys]] visual arts.",0.36193913221359253,0.5387203097343445,1,0,1,17,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[hilarious]] comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[comical]] comedy, you can never tell what is going to happen next.",0.28567004203796387,0.5291686058044434,1,0,1,23,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.7578624486923218,0.7578624486923218,1,1,0,1,"Skipped"
"This [[film]] [[tries]] to be a serious and sophisticated thriller/horror flick and it [[fails]] miserably.","This [[movies]] [[endeavours]] to be a serious and sophisticated thriller/horror flick and it [[fail]] miserably.",0.09274369478225708,0.5194815397262573,0,1,0,24,"Successful"
"It's still wild stuff though and is [[highly]] recommended to [[fans]] of giallo cinema.","It's still wild stuff though and is [[unimaginably]] recommended to [[stalkers]] of giallo cinema.",0.19222599267959595,0.580366849899292,1,0,1,40,"Successful"
"And I [[really]] [[did]] [[find]] them funny.","And I [[genuinely]] [[could]] [[finds]] them funny.",0.23323237895965576,0.3001352548599243,1,1,1,21,"Failed"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[biggest]] cinematographers to ever grace the screen..James Wong Howe.",0.2947327494621277,0.5410009622573853,1,0,1,27,"Successful"
"This [[film]] has no [[redeeming]] features.","This [[cinematographic]] has no [[redeem]] features.",0.10421079397201538,0.6716710329055786,0,1,0,28,"Successful"
"The [[plot]] was the same as [[pretty]] much every other cheap horror.","The [[intrigue]] was the same as [[quite]] much every other cheap horror.",0.31639325618743896,0.6019166707992554,0,1,0,10,"Successful"
"And if that isn't enough of a mess of a [[movie]] for you - the picture is also [[marred]] with a constant [[use]] of studio sets and [[indoor]] exteriors.","And if that isn't enough of a mess of a [[movies]] for you - the picture is also [[overshadowed]] with a constant [[employs]] of studio sets and [[domestic]] exteriors.",0.03567647933959961,0.0967336893081665,0,0,0,43,"Failed"
"[[His]] performance is [[simply]] genius.","[[Her]] performance is [[merely]] genius.",0.22683870792388916,0.3621179461479187,1,1,1,12,"Failed"
"It was just too horrible.","It was just too horrible.",0.32408368587493896,0.32408368587493896,0,0,0,23,"Failed"
"[[Frankly]], after Cotton club and Unfaithful, it was [[kind]] of embarrassing to watch Lane and Gere in this film, [[because]] it is BAD.","[[Candidly]], after Cotton club and Unfaithful, it was [[sorts]] of embarrassing to watch Lane and Gere in this film, [[since]] it is BAD.",0.11549979448318481,0.1965506672859192,0,0,0,35,"Failed"
";) Recommend with confidence!",";) Recommend with confidence!",0.25946903228759766,0.25946903228759766,1,1,1,6,"Failed"
"As for the killer, don't expect anything [[original]] or even remotely frightening.","As for the killer, don't expect anything [[initial]] or even remotely frightening.",0.4947982430458069,0.5564405918121338,0,1,0,10,"Successful"
"But if you liked [[movies]] [[like]] The Matrix (and better yet, their sequels) I [[think]] you'll [[appreciate]] the thought provoking, mindblowing [[experience]] this [[film]] will [[give]] you.","But if you liked [[theater]] [[iike]] The Matrix (and better yet, their sequels) I [[thinks]] you'll [[appreciative]] the thought provoking, mindblowing [[experiences]] this [[filmmaking]] will [[lend]] you.",0.2207295298576355,0.5242925882339478,1,0,1,46,"Successful"
"The [[kids]] are [[very]] cool too.","The [[brats]] are [[eminently]] cool too.",0.2216256856918335,0.4580801725387573,1,1,1,25,"Failed"
"Unfortunately, inexperience of [[direction]] meant that scene after scene passed with [[little]] in the [[way]] of [[dramatic]] [[tension]] or conflict.","Unfortunately, inexperience of [[directorate]] meant that scene after scene passed with [[small]] in the [[manner]] of [[tremendous]] [[tensile]] or conflict.",0.09133636951446533,0.37954384088516235,0,0,0,48,"Failed"
