"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The refried beans that came with my meal were dried out and crusty and the food was bland.","The refried beans that came with my meal were dried out and crusty and the food was bland.",0.5605576634407043,0.5605576634407043,1,1,0,1,"Skipped"
"Spend your money and time some place else.","Spend your money and time some place else.",0.6678192615509033,0.6678192615509033,1,1,0,1,"Skipped"
"A lady at the table next to us found a live green caterpillar In her salad.","A lady at the table next to us found a live green caterpillar In her salad.",0.6268118023872375,0.6268118023872375,1,1,0,1,"Skipped"
"the presentation of the food was awful.","the presentation of the food was awful.",0.6511030197143555,0.6511030197143555,1,1,0,1,"Skipped"
"I can't tell you how [[disappointed]] I was.","I can't tell you how [[close]] I was.",0.37903928756713867,0.8576375842094421,0,1,0,51,"Successful"
"I think food should have flavor and texture and both were lacking.","I think food should have flavor and texture and both were lacking.",0.7223577499389648,0.7223577499389648,1,1,0,1,"Skipped"
"Appetite instantly gone.","Appetite instantly gone.",0.7604833841323853,0.7604833841323853,1,1,0,1,"Skipped"
"Overall I was not impressed and would not go back.","Overall I was not impressed and would not go back.",0.5448735952377319,0.5448735952377319,1,1,0,1,"Skipped"
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0.7381805181503296,0.7381805181503296,1,1,0,1,"Skipped"
"Then, as if I hadn't wasted [[enough]] of my life there, they poured salt in the [[wound]] by drawing out the time it took to [[bring]] the check.","Then, as if I hadn't wasted [[much]] of my life there, they poured salt in the [[wounds]] by drawing out the time it took to [[get]] the check.",0.4452360272407532,0.5000035762786865,0,1,0,24,"Successful"
