"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'm really [[disappointed]] all I have now is a charger that doesn't work.","I'm really [[impressed]] all I have now is a charger that doesn't [[require]] work.",0.3975461721420288,0.6797281503677368,0,1,0,694,"Successful"
"[[Painful]] on the ear.","[[mouth]] on the ear.",0.47193992137908936,0.617026150226593,0,1,0,224,"Successful"
"[[Lasted]] one day and then [[blew]] up.","[[saw]] one day and then [[hooked]] up.",0.35995733737945557,0.5090469121932983,0,1,0,662,"Successful"
"disappointed.","disappointed.",0.36596983671188354,0.36596983671188354,0,0,0,1,"Failed"
"Kind of flops [[around]].","Kind of flops [[like]].",0.412564754486084,0.6322610378265381,0,1,0,216,"Successful"
"The screen does get smudged easily because it touches your ear and [[face]].","The screen does get smudged easily because it touches your ear and [[helps]].",0.490354061126709,0.6234227418899536,0,1,0,707,"Successful"
"What a piece of junk.. I [[lose]] more calls on this phone.","What a piece of junk.. I [[love]] more calls on this phone.",0.35598260164260864,0.5119273662567139,0,1,0,700,"Successful"
"Item Does [[Not]] Match Picture.","Item Does [[best]] Match Picture.",0.40806710720062256,0.6411610841751099,0,1,0,294,"Successful"
"The only thing that [[disappoint]] me is the infra red port (irda).","The only thing that [[interest]] me is the infra red port (irda).",0.4432981014251709,0.5685707330703735,0,1,0,541,"Successful"
"You can not answer calls with the unit, [[never]] worked once!","You can [[normally]] not answer calls with the unit, [[probably]] worked once!",0.3640871047973633,0.5047992467880249,0,1,0,1188,"Successful"
