original_text,textfooler_result,bertr_result,berti_result,bertir_result
I'm really disappointed all I <font color = red>have</font> now is a <font color = red>charger</font> that doesn't <font color = red>work</font>.,I'm really disappointed all I <font color = green>had</font> now is a <font color = green>changer</font> that doesn't <font color = green>jobs</font>.,,,
,AttackFailed,,,
,AttackFailed,,,
,AttackFailed,,,
<font color = red>Kind</font> of flops around.,<font color = green>Sorts</font> of flops around.,,,
The screen does <font color = red>get</font> smudged easily because it touches your ear and face.,The screen does <font color = green>got</font> smudged easily because it touches your ear and face.,,,
,AttackFailed,,,
<font color = red>Item</font> Does Not <font color = red>Match</font> <font color = red>Picture</font>.,<font color = green>Themes</font> Does Not <font color = green>Matchmaking</font> <font color = green>Photos</font>.,,,
The only <font color = red>thing</font> that disappoint me is the infra red <font color = red>port</font> (irda).,The only <font color = green>stuff</font> that disappoint me is the infra red <font color = green>rico</font> (irda).,,,
,AttackFailed,,,
