"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"If you haven't gone here GO NOW!","If you haven't gone here GO NOW!",0.5410617589950562,0.5410617589950562,0,0,1,1,"Skipped"
"[[Try]] them in the airport to [[experience]] some [[tasty]] [[food]] and [[speedy]], [[friendly]] service.","[[Attempted]] them in the airport to [[enjoying]] some [[scrumptious]] [[nourishment]] and [[swifter]], [[amicable]] service.",0.3244894742965698,0.5182865858078003,1,0,1,44,"Successful"
"The restaurant is [[very]] [[clean]] and [[has]] a family [[restaurant]] feel to it.","The restaurant is [[highly]] [[pur]] and [[had]] a family [[restaurants]] feel to it.",0.36310529708862305,0.42635267972946167,1,1,1,33,"Failed"
"I personally [[love]] the [[hummus]], pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they [[do]] with eggplant!).","I personally [[iove]] the [[humus]], pita, baklava, falafels and Baba Ganoush (it's [[surprising]] what they [[doing]] with eggplant!).",0.3463675379753113,0.501477837562561,1,0,1,44,"Successful"
"Come [[hungry]], [[leave]] [[happy]] and [[stuffed]]!","Come [[ravenous]], [[leaving]] [[jubilant]] and [[padded]]!",0.33018338680267334,0.43327969312667847,1,1,1,17,"Failed"
"It's a [[great]] [[place]] and I [[highly]] [[recommend]] it.","It's a [[whopping]] [[placing]] and I [[immeasurably]] [[recommending]] it.",0.3344401717185974,0.5149378180503845,1,0,1,57,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.6579608917236328,0.6579608917236328,1,1,0,1,"Skipped"
"[[Reasonably]] [[priced]] also!","[[Logically]] [[costing]] also!",0.32829779386520386,0.5379464626312256,1,0,1,8,"Successful"
"Worst food/service I've had in a while.","Worst food/service I've had in a while.",0.5395405292510986,0.5395405292510986,1,1,0,1,"Skipped"
"I had a seriously [[solid]] breakfast here.","I had a seriously [[solids]] breakfast here.",0.4297405481338501,0.5307832956314087,1,0,1,8,"Successful"
"The service was terrible [[though]].","The service was terrible [[although]].",0.4621906876564026,0.5555692911148071,0,1,0,9,"Successful"
"2 times - Very Bad Customer Service !","2 times - Very Bad Customer Service !",0.5729391574859619,0.5729391574859619,1,1,0,1,"Skipped"
"[[Tried]] to go here for lunch and it was a [[madhouse]].","[[Strived]] to go here for lunch and it was a [[nuthouse]].",0.390799343585968,0.5052491426467896,0,1,0,10,"Successful"
"The [[food]] wasn't good.","The [[meals]] wasn't good.",0.41533178091049194,0.44763487577438354,0,0,0,12,"Failed"
"The meat was pretty dry, I had the sliced brisket and pulled pork.","The meat was pretty dry, I had the sliced brisket and pulled pork.",0.6038591861724854,0.6038591861724854,1,1,0,1,"Skipped"
"[[Overall]], a [[great]] [[experience]].","[[Total]], a [[large]] [[enjoying]].",0.3213340640068054,0.4435679316520691,1,1,1,26,"Failed"
"I went to Bachi Burger on a friend's [[recommendation]] and was not disappointed.","I went to Bachi Burger on a friend's [[propositions]] and was not disappointed.",0.4866775870323181,0.5501771569252014,1,0,1,21,"Successful"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.5894367098808289,0.5894367098808289,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5057122707366943,0.5057122707366943,1,1,0,1,"Skipped"
"All the [[bread]] is [[made]] in-house!","All the [[loaf]] is [[introduced]] in-house!",0.3296065330505371,0.35964393615722656,1,1,1,11,"Failed"
"My boyfriend and I came here for the first [[time]] on a recent [[trip]] to Vegas and could not [[have]] been more [[pleased]] with the quality of food and [[service]].","My boyfriend and I came here for the first [[times]] on a recent [[voyages]] to Vegas and could not [[has]] been more [[satisfied]] with the quality of food and [[servicing]].",0.40108025074005127,0.5022728443145752,1,0,1,35,"Successful"
"[[Everything]] on the [[menu]] is terrific and we were also [[thrilled]] that they [[made]] amazing [[accommodations]] for our vegetarian [[daughter]].","[[Entire]] on the [[menus]] is terrific and we were also [[delighted]] that they [[brought]] amazing [[accomodation]] for our vegetarian [[girl]].",0.3388838768005371,0.3537698984146118,1,1,1,76,"Failed"
"They [[dropped]] more than the ball.","They [[dipped]] more than the ball.",0.3742895722389221,0.43223273754119873,0,0,0,20,"Failed"
"Be sure to [[order]] dessert, even if you [[need]] to [[pack]] it to-go - the tiramisu and cannoli are both to [[die]] for.","Be sure to [[orders]] dessert, even if you [[requisite]] to [[packets]] it to-go - the tiramisu and cannoli are both to [[dead]] for.",0.33185291290283203,0.40434861183166504,1,1,1,34,"Failed"
"[[If]] that bug never [[showed]] up I would [[have]] given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.","[[Though]] that bug never [[shown]] up I would [[had]] given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.399158775806427,0.42408543825149536,0,0,0,33,"Failed"
"If it were possible to give them [[zero]] stars, they'd have it.","If it were possible to give them [[zilch]] stars, they'd have it.",0.4181976914405823,0.503294825553894,0,1,0,10,"Successful"
"The only good thing was our waiter, he was very [[helpful]] and kept the bloddy mary's coming.","The only good thing was our waiter, he was very [[advantageous]] and kept the bloddy mary's coming.",0.4393605589866638,0.5043788552284241,1,0,1,18,"Successful"
"Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.","Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.",0.5196748375892639,0.5196748375892639,1,1,0,1,"Skipped"
"The Buffet at Bellagio was far from what I [[anticipated]].","The Buffet at Bellagio was far from what I [[envisioned]].",0.45400214195251465,0.45997071266174316,0,0,0,22,"Failed"
"I was VERY disappointed!!","I was VERY disappointed!!",0.512304425239563,0.512304425239563,1,1,0,1,"Skipped"
"This [[place]] is like Chipotle, but [[BETTER]].","This [[placing]] is like Chipotle, but [[NICER]].",0.3712460994720459,0.4549223780632019,1,1,1,11,"Failed"
"My drink was never empty and he [[made]] some [[really]] [[great]] [[menu]] suggestions.","My drink was never empty and he [[brought]] some [[truthfully]] [[large]] [[menus]] suggestions.",0.326732873916626,0.5141867399215698,1,0,1,42,"Successful"
"Very disappointing!!!","Very disappointing!!!",0.5939438939094543,0.5939438939094543,1,1,0,1,"Skipped"
"[[Waitress]] was sweet and [[funny]].","[[Stewardess]] was sweet and [[comical]].",0.28436875343322754,0.42340582609176636,1,1,1,13,"Failed"
"I [[left]] with a [[stomach]] ache and felt [[sick]] the [[rest]] of the day.","I [[gauche]] with a [[abdomen]] ache and felt [[unwell]] the [[roosting]] of the day.",0.4001222252845764,0.5498402714729309,0,1,0,28,"Successful"
"[[Very]] [[friendly]] [[staff]].","[[Hugely]] [[friendship]] [[personnel]].",0.2996293306350708,0.416540265083313,1,1,1,24,"Failed"
"The decor is [[nice]], and the piano [[music]] soundtrack is [[pleasant]].","The decor is [[handsome]], and the piano [[musica]] soundtrack is [[delightful]].",0.32455480098724365,0.33282536268234253,1,1,1,22,"Failed"
"[[After]] I pulled up my [[car]] I waited for another 15 minutes before being [[acknowledged]].","[[Upon]] I pulled up my [[automobile]] I waited for another 15 minutes before being [[recognised]].",0.4363471269607544,0.4948873519897461,0,0,0,33,"Failed"
"Their [[regular]] [[toasted]] bread was [[equally]] [[satisfying]] with the [[occasional]] [[pats]] of [[butter]]... [[Mmmm]]...!","Their [[regularly]] [[busted]] bread was [[similarly]] [[gratifying]] with the [[sporadic]] [[bates]] of [[peanut]]... [[Mmm]]...!",0.3405836820602417,0.4012807011604309,1,1,1,28,"Failed"
"The [[ripped]] [[banana]] was not only [[ripped]], but petrified and [[tasteless]].","The [[torn]] [[bananas]] was not only [[buzzed]], but petrified and [[tacky]].",0.35746216773986816,0.4079643487930298,0,0,0,15,"Failed"
"I go to far too [[many]] [[places]] and I've never [[seen]] any restaurant that [[serves]] a 1 egg breakfast, [[especially]] for $4.00.","I go to far too [[countless]] [[locations]] and I've never [[noticed]] any restaurant that [[serve]] a 1 egg breakfast, [[specially]] for $4.00.",0.3560429811477661,0.3949347138404846,0,0,0,47,"Failed"
"Will be back again!","Will be back again!",0.40027886629104614,0.40027886629104614,1,1,1,4,"Failed"
