"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'm really disappointed all I have now is a charger that doesn't work.","I'm really disappointed all I have now is a charger that doesn't [[require]] work.",0.3975461721420288,0.4591863751411438,0,0,0,384,"Failed"
"Painful on the ear.","Painful on [[bite]] the ear.",0.47193992137908936,0.5755182504653931,0,1,0,148,"Successful"
"Lasted one day and then blew up.","Lasted [[in]] one day [[mike]] and [[yours]] then [[mike]] blew up.",0.35995733737945557,0.5270612239837646,0,1,0,665,"Successful"
"disappointed.","disappointed.",0.36596983671188354,0.36596983671188354,0,0,0,1,"Failed"
"Kind of flops around.","Kind of [[they]] flops around.",0.412564754486084,0.596315860748291,0,1,0,146,"Successful"
"The screen does get smudged easily because it touches your ear and face.","The screen does get smudged easily because it touches [[exactly]] your ear and face.",0.490354061126709,0.5864819288253784,0,1,0,435,"Successful"
"What a piece of junk.. I lose more calls on this phone.","What [[like]] a [[great]] piece of junk.. I lose more calls on [[your]] this phone.",0.35598260164260864,0.4623315930366516,0,0,0,897,"Failed"
"Item Does Not Match Picture.","Item Does [[he]] Not Match Picture.",0.40806710720062256,0.5313024520874023,0,1,0,190,"Successful"
"The only thing that disappoint me is the infra red port (irda).","The only thing that disappoint me is [[how]] the infra red port (irda).",0.4432981014251709,0.5625278353691101,0,1,0,381,"Successful"
"You can not answer calls with the unit, never worked once!","You can [[normally]] not answer calls with the unit, never [[this]] worked [[though]] once!",0.3640871047973633,0.5778095126152039,0,1,0,1243,"Successful"
