"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine <font color = red>twirling</font> around wouldn't hurt your eyes as much as this show.","Watching washing machine <font color = green>flying</font> around wouldn't hurt your eyes as much as this show.",0.40737777948379517,0.5138026475906372,0,1,0,59,"Successful"
"I just saw this <font color = green>film</font> and I <font color = green>recommend</font> it.","I just saw this <font color = red>mess</font> and I <font color = red>regretted</font> it.",0.19329339265823364,0.9509371519088745,1,0,1,98,"Successful"
"Her <font color = green>role</font> was played well.","Her <font color = red>acting</font> was played well.",0.4740264415740967,0.5152570009231567,1,0,1,66,"Successful"
"This is an <font color = green>excellent</font> film.","This is an <font color = red>abbreviated</font> film.",0.09473758935928345,0.6900603771209717,1,0,1,38,"Successful"
"The <font color = green>best</font> scene in the movie is at the end, but I won't spoil it.","The <font color = red>worst</font> scene in the movie is at the end, but I won't spoil it.",0.3878830671310425,0.6906569004058838,1,0,1,19,"Successful"
"This film <font color = green>offers</font> <font color = green>many</font> <font color = green>delights</font> and surprises.","This film <font color = red>lacks</font> <font color = red>few</font> <font color = red>scenes</font> and surprises.",0.10963761806488037,0.7394646406173706,1,0,1,144,"Successful"
"Jimmy Stewart is as ever a <font color = green>great</font> hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a <font color = red>good</font> hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.40738242864608765,0.5521047115325928,1,0,1,59,"Successful"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one <font color = red>fails</font> everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one <font color = green>stops</font> everywhere.",0.3284456729888916,0.6281393766403198,0,1,0,61,"Successful"
"This movie is great--especially if you <font color = green>enjoy</font> visual arts.","This movie is great--especially if you <font color = red>mention</font> visual arts.",0.33429819345474243,0.5246891379356384,1,0,1,56,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and <font color = green>hilarious</font> comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and <font color = red>good</font> comedy, you can never tell what is going to happen next.",0.364484965801239,0.5378570556640625,1,0,1,23,"Successful"
"It's still wild stuff though and is <font color = green>highly</font> <font color = green>recommended</font> to fans of giallo cinema.","It's still wild stuff though and is <font color = red>totally</font> <font color = red>expected</font> to fans of giallo cinema.",0.08016723394393921,0.5823943614959717,1,0,1,79,"Successful"
"And <font color = green>I</font> really did find them funny.","And <font color = red>hanna</font> really did find them funny.",0.46507662534713745,0.5483016967773438,1,0,1,17,"Successful"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the <font color = green>greatest</font> cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the <font color = red>better</font> cinematographers to ever grace the screen..James Wong Howe.",0.2581929564476013,0.5067930221557617,1,0,1,29,"Successful"
"This film has no <font color = red>redeeming</font> features.","This film has no <font color = green>released</font> features.",0.19329935312271118,0.5496835708618164,0,1,0,33,"Successful"
"The plot was the same as pretty much every other <font color = red>cheap</font> horror.","The plot was the same as pretty much every other <font color = green>great</font> horror.",0.33559149503707886,0.5457580089569092,0,1,0,39,"Successful"
"And if that isn't enough of a <font color = red>mess</font> of a movie for you - the picture is also <font color = red>marred</font> with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a <font color = green>bit</font> of a movie for you - the picture is also <font color = green>done</font> with a constant use of studio sets and indoor exteriors.",0.018650829792022705,0.6935793161392212,0,1,0,50,"Successful"
"His performance is <font color = green>simply</font> genius.","His performance is <font color = red>practically</font> genius.",0.47427910566329956,0.5500806570053101,1,0,1,23,"Successful"
";) <font color = green>Recommend</font> with confidence!",";) <font color = red>write</font> with confidence!",0.4418363571166992,0.5644950866699219,1,0,1,51,"Successful"
"As for the killer, don't expect anything <font color = red>original</font> or even remotely frightening.","As for the killer, don't expect anything <font color = green>spectacular</font> or even remotely frightening.",0.39668768644332886,0.5666782855987549,0,1,0,47,"Successful"
"The kids are very <font color = green>cool</font> too.","The kids are very <font color = red>bad</font> too.",0.3919872045516968,0.7944029569625854,1,0,1,39,"Successful"
"Unfortunately, inexperience of <font color = red>direction</font> meant that scene after scene passed with little in the <font color = red>way</font> of dramatic tension or conflict.","Unfortunately, inexperience of <font color = green>time</font> meant that scene after scene passed with little in the <font color = green>ways</font> of dramatic tension or conflict.",0.44238412380218506,0.5136374235153198,0,1,0,61,"Successful"
