"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'm really disappointed all I [[have]] now is a [[charger]] that doesn't [[work]].","I'm really disappointed all I [[had]] now is a [[changer]] that doesn't [[jobs]].",0.3975461721420288,0.5012841820716858,0,1,0,18,"Successful"
"[[Painful]] on the ear.","[[Hurtful]] on the ear.",0.47193992137908936,0.48780596256256104,0,0,0,5,"Failed"
"Lasted one day and then [[blew]] up.","Lasted one day and then [[farted]] up.",0.35995733737945557,0.3651907444000244,0,0,0,5,"Failed"
"disappointed.","disappointed.",0.36596983671188354,0.36596983671188354,0,0,0,2,"Failed"
"[[Kind]] of flops around.","[[Sorts]] of flops around.",0.412564754486084,0.5436521172523499,0,1,0,11,"Successful"
"The screen does [[get]] smudged easily because it touches your ear and face.","The screen does [[got]] smudged easily because it touches your ear and face.",0.490354061126709,0.5575509667396545,0,1,0,14,"Successful"
"What a [[piece]] of [[junk]].. I lose more [[calls]] on this [[phone]].","What a [[slice]] of [[trash]].. I lose more [[inviting]] on this [[tel]].",0.35598260164260864,0.43084716796875,0,0,0,30,"Failed"
"[[Item]] Does Not [[Match]] [[Picture]].","[[Themes]] Does Not [[Matchmaking]] [[Photos]].",0.40806710720062256,0.614089846611023,0,1,0,31,"Successful"
"The only [[thing]] that disappoint me is the infra red [[port]] (irda).","The only [[stuff]] that disappoint me is the infra red [[rico]] (irda).",0.4432981014251709,0.5093315839767456,0,1,0,17,"Successful"
"You can not [[answer]] [[calls]] with the [[unit]], never [[worked]] once!","You can not [[responding]] [[request]] with the [[units]], never [[works]] once!",0.3640871047973633,0.4005560874938965,0,0,0,37,"Failed"
