"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching [[washing]] machine twirling around wouldn't hurt your eyes as [[much]] as this show.","Watching [[scrubbing]] machine twirling around wouldn't hurt your eyes as [[very]] as this show.",0.40737777948379517,0.4229528307914734,0,0,0,32,"Failed"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5028098821640015,0.5028098821640015,1,1,0,1,"Skipped"
"I just [[saw]] this [[film]] and I [[recommend]] it.","I just [[noticed]] this [[kino]] and I [[recommendations]] it.",0.19329339265823364,0.43374866247177124,1,1,1,25,"Failed"
"This is a witty and [[delightful]] adaptation of the [[Dr]] Seuss book, [[brilliantly]] animated by UPA's [[finest]] and [[thoroughly]] deserving of its Academy Award.","This is a witty and [[yummy]] adaptation of the [[Doktor]] Seuss book, [[marvellously]] animated by UPA's [[meanest]] and [[meticulously]] deserving of its Academy Award.",0.00012242794036865234,0.2126758098602295,1,1,1,72,"Failed"
"Her role was [[played]] well.","Her role was [[effected]] well.",0.4740264415740967,0.5039362907409668,1,0,1,10,"Successful"
"This is an [[excellent]] film.","This is an [[glamorous]] film.",0.09473758935928345,0.5047568082809448,1,0,1,36,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.5306028723716736,0.5306028723716736,1,1,0,1,"Skipped"
"This is [[probably]] the most irritating show I [[have]] ever [[seen]] in my entire life.","This is [[arguably]] the most irritating show I [[ha]] ever [[watched]] in my entire life.",0.328669011592865,0.5258082747459412,0,1,0,33,"Successful"
"The [[best]] scene in the [[movie]] is at the end, but I won't [[spoil]] it.","The [[better]] scene in the [[filmmaking]] is at the end, but I won't [[ruin]] it.",0.3878830671310425,0.4778069257736206,1,1,1,20,"Failed"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5795666575431824,0.5795666575431824,1,1,0,1,"Skipped"
