"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Thanks again to Amazon for having the things I [[need]] for a [[good]] price!","Thanks again to Amazon for having the things I [[saved]] for a [[terrible]] price!",0.4361424446105957,0.7418469190597534,1,0,1,103,"Successful"
"The tracfonewebsite is [[user]] [[friendly]] and [[makes]] it easy toactivate, [[etc]].","The tracfonewebsite is [[fat]] [[free]] and [[made]] it easy toactivate, [[anyway]].",0.11951315402984619,0.5126650333404541,1,0,1,74,"Successful"
"I would [[highly]] recommend this product.","I would [[hardly]] recommend this product.",0.16143536567687988,0.6806672811508179,1,0,1,54,"Successful"
"[[This]] does not [[fit]] the Palm Tungsten E2 and it broke the first time I tried to [[plug]] it in.","[[that]] does not [[take]] the Palm Tungsten E2 and it broke the first time I tried to [[make]] it in.",0.17576110363006592,0.38889801502227783,0,0,0,49,"Failed"
"I highly [[recommend]] this device to everyone!","I highly [[condemn]] this device to everyone!",0.17270779609680176,0.529029130935669,1,0,1,22,"Successful"
"It works fine on my Motorola 325 cellphone, and a [[lot]] [[better]] than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a [[shade]] [[worse]] than the worn-out battery did.",0.41817671060562134,0.8999078869819641,1,0,1,15,"Successful"
"Don't make the same mistake that I did and please don't buy this phone.","Don't make the same mistake that I did and please don't buy this phone.",0.5528207421302795,0.5528207421302795,1,1,0,1,"Skipped"
"I got the aluminum case for my new Palm [[VX]] and it worked really well--it has protected my handheld perfectly so far.","I got the aluminum case for my new Palm [[etto]] and it worked really well--it has protected my handheld perfectly so far.",0.17351239919662476,0.2681436538696289,1,1,1,18,"Failed"
"Terrible product, and [[waste]] of money!","Terrible product, and [[fear]] of money!",0.04634571075439453,0.5078164935112,0,1,0,39,"Successful"
"[[Very]] good stuff for the [[price]].","[[only]] good stuff for the [[group]].",0.4786767363548279,0.5161532163619995,1,0,1,82,"Successful"
"#1 It [[Works]] - #2 It is Comfortable.","#1 It [[sucks]] - #2 It is Comfortable.",0.4588148593902588,0.6701915264129639,1,0,1,57,"Successful"
"Do Not Buy for D807...wrongly [[advertised]] for D807.","Do Not Buy for D807...wrongly [[offer]] for D807.",0.47683924436569214,0.5114785432815552,0,1,0,57,"Successful"
"These are fabulous!","These are fabulous!",0.4693204164505005,0.4693204164505005,1,1,1,25,"Failed"
"[[Lousy]] product.","[[pet]] product.",0.4707791209220886,0.5334184169769287,0,1,0,23,"Successful"
"Logitech Bluetooth Headset is a 10!.","Logitech Bluetooth Headset is a 10!.",0.541131854057312,0.541131854057312,0,0,1,1,"Skipped"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.","The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.",0.65590500831604,0.65590500831604,0,0,1,1,"Skipped"
"[[Good]] product, [[good]] seller.","[[soft]] product, [[best]] seller.",0.4693204164505005,0.516788125038147,1,0,1,117,"Successful"
"WARNING - DO NOT BUY!!.","WARNING - DO NOT BUY!!.",0.5124757289886475,0.5124757289886475,1,1,0,1,"Skipped"
"They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.","They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.",0.5148497819900513,0.5148497819900513,0,0,1,1,"Skipped"
"I [[love]] this device.","I [[recognize]] this device.",0.23063498735427856,0.47718894481658936,1,1,1,106,"Failed"
"I own a Jabra Earset and was very [[happy]] with it, but the sound quality, especially outgoing, on this is better.","I own a Jabra Earset and was very [[unhappy]] with it, but the sound quality, especially outgoing, on this is better.",0.29101812839508057,0.6230590343475342,1,0,1,23,"Successful"
"The file browser offers all the [[options]] that one needs.Handsfree is great.","The file browser offers all the [[resources]] that one needs.Handsfree is great.",0.48375701904296875,0.5268419981002808,1,0,1,59,"Successful"
"Display is [[excellent]] and camera is as good as any from that year.","Display is [[okay]] and camera is as good as any from that year.",0.09833800792694092,0.6162922382354736,1,0,1,52,"Successful"
"The noise [[shield]] is incrediable.","The noise [[pollution]] is incrediable.",0.4543096423149109,0.5348001718521118,1,0,1,78,"Successful"
"I did not [[bother]] contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.","I did not [[be]] contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.",0.3363765478134155,0.5222256183624268,0,1,0,38,"Successful"
"One of my [[favorite]] purchases ever.","One of my [[worst]] purchases ever.",0.16404080390930176,0.9787243604660034,1,0,1,28,"Successful"
"Buyer Beware, you could flush [[money]] right down the toilet.","Buyer Beware, you could flush [[everyone]] right down the toilet.",0.26495277881622314,0.534379243850708,0,1,0,20,"Successful"
"You also cannot take pictures with it in the case because the lense is covered.","You also cannot take pictures with it in the case because the lense is covered.",0.6445696353912354,0.6445696353912354,1,1,0,1,"Skipped"
"The cutouts and buttons are placed perfectly.","The cutouts and buttons are placed perfectly.",0.5124529600143433,0.5124529600143433,0,0,1,1,"Skipped"
"Otherwise, easy to [[install]] and use, clear sound.","Otherwise, easy to [[prepare]] and use, clear sound.",0.44964271783828735,0.5291904211044312,1,0,1,77,"Successful"
