"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as [[much]] as this show.","Watching washing machine twirling around wouldn't hurt your eyes as [[such]] [[but]] as this show.",0.3985140919685364,0.5045263171195984,0,1,0,622,"Successful"
"The movie has almost no action scenes in it and very [[little]] comedy.","The movie has almost no action scenes in it and very [[good]] comedy.",0.3938508629798889,0.6276047229766846,0,1,0,718,"Successful"
"I just saw this film and I [[recommend]] it.","I just saw this film and I [[lost]] it.",0.33490675687789917,0.6775272488594055,1,0,1,488,"Successful"
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.","This is [[not]] a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.",0.32198816537857056,0.5491385459899902,1,0,1,871,"Successful"
"Her role was played well.","Her role was [[never]] played well.",0.454534649848938,0.7219105958938599,1,0,1,313,"Successful"
"This is an [[excellent]] film.","This is an [[incomplete]] film.",0.35147565603256226,0.7301292419433594,1,0,1,290,"Successful"
"[[Avoid]] at all costs.","[[beating]] [[out]] at [[you]] all [[no]] costs.",0.32535064220428467,0.5242424011230469,0,1,0,410,"Successful"
"[[This]] is [[probably]] the most irritating show I have ever seen in my [[entire]] [[life]].","[[this]] is [[nearly]] the most irritating show I have ever seen in my [[whole]] [[lives]].",0.39672595262527466,0.45209038257598877,0,0,0,140,"Failed"
"The best scene in the movie is at the end, but I won't spoil it.","The best scene in the movie is at the end, but I won't spoil it.",0.6191294193267822,0.6191294193267822,0,0,1,1,"Skipped"
"I [[guess]] that [[nobody]] at the network that aired this dribble watched it before putting it on.","I [[mean]] that [[folks]] at the network that aired this dribble watched it before putting it on.",0.39483189582824707,0.5144968032836914,0,1,0,584,"Successful"
"[[This]] film offers many delights and surprises.","[[no]] film offers many delights and surprises.",0.30998730659484863,0.655541181564331,1,0,1,503,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.5284708142280579,0.5284708142280579,0,0,1,1,"Skipped"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.5489307641983032,0.5489307641983032,0,0,1,1,"Skipped"
"This [[one]] wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This [[two]] wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[helps]] everywhere.",0.32082265615463257,0.5687484741210938,0,1,0,1209,"Successful"
"This movie is great--especially if you enjoy visual arts.","This movie is [[not]] great--especially if you enjoy visual arts.",0.34511303901672363,0.6352514624595642,1,0,1,515,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",0.5615593791007996,0.5615593791007996,0,0,1,1,"Skipped"
"It was [[forced]], like everything in this movie.","It was [[amazing]], like everything in this movie.",0.3710501194000244,0.6488742232322693,0,1,0,360,"Successful"
"This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.","This film tries to be a serious [[hearted]] and sophisticated thriller/horror flick and it fails miserably.",0.4460482597351074,0.5703219175338745,0,1,0,241,"Successful"
"It's still wild stuff though and is [[highly]] recommended to fans of giallo cinema.","It's still wild stuff though and is [[not]] recommended to fans of giallo cinema.",0.3508460521697998,0.5965906381607056,1,0,1,588,"Successful"
"And I really did find them funny.","And I really did find them funny.",0.6306359767913818,0.6306359767913818,0,0,1,1,"Skipped"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and [[finally]] filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.",0.47889846563339233,0.5245640873908997,1,0,1,473,"Successful"
"This film has no redeeming features.","This [[tamil]] film has no redeeming features.",0.3872932195663452,0.5939586162567139,0,1,0,387,"Successful"
"The plot was the same as pretty much every other [[cheap]] horror.","The plot was the same as pretty much every other [[canadian]] horror.",0.42090702056884766,0.5377606749534607,0,1,0,638,"Successful"
"And if that isn't enough of a mess of a movie for you - the picture is also [[marred]] with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a mess of a movie for you - the picture is also [[stunning]] with a constant use of studio sets and indoor exteriors.",0.39755135774612427,0.671585202217102,0,1,0,349,"Successful"
"His performance is simply [[genius]].","His performance is simply [[ridiculous]].",0.3714563250541687,0.6929072737693787,1,0,1,322,"Successful"
"It was just too [[horrible]].","It [[probably]] was [[or]] just [[never]] too [[short]].",0.29407936334609985,0.5929350852966309,0,1,0,476,"Successful"
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, [[said]] it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.",0.4004729390144348,0.5345381498336792,0,1,0,556,"Successful"
";) [[Recommend]] with confidence!",";) [[die]] with confidence!",0.42090266942977905,0.5858232975006104,1,0,1,187,"Successful"
"[[As]] for the [[killer]], don't expect anything original or even remotely frightening.","[[for]] for the [[movie]], [[we]] don't expect anything original or even remotely frightening.",0.3567207455635071,0.6443402767181396,0,1,0,1549,"Successful"
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.","But if you liked movies like The Matrix (and better yet, their sequels) I [[hardly]] think you'll appreciate the thought provoking, mindblowing experience this film will give you.",0.3718757629394531,0.5341125130653381,1,0,1,790,"Successful"
"The kids are very cool too.","The kids are very [[not]] cool too.",0.47381699085235596,0.6737251281738281,1,0,1,300,"Successful"
"[[Unfortunately]], inexperience of direction [[meant]] that scene after scene passed with little in the [[way]] of [[dramatic]] tension or conflict.","[[unfortunately]], inexperience of [[that]] direction [[means]] [[either]] that scene after scene passed with little in the [[middle]] of [[apparent]] tension or conflict.",0.31277114152908325,0.413158655166626,0,0,0,544,"Failed"
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).","A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",0.5018264055252075,0.5018264055252075,0,0,1,1,"Skipped"
"Later I found myself lost in the power of the film.","Later I found myself lost in the power of the film.",0.6153984665870667,0.6153984665870667,0,0,1,1,"Skipped"
"The jerky camera movements were also [[annoying]].","The jerky camera movements were [[and]] also [[praised]].",0.3039172291755676,0.5554298758506775,0,1,0,858,"Successful"
"So [[bad]].","So [[ph]].",0.31204307079315186,0.650844931602478,0,1,0,92,"Successful"
"10 out of 10 stars.","10 out of 10 stars.",0.703173041343689,0.703173041343689,0,0,1,1,"Skipped"
"Generally; it just [[lacked]] imagination.","Generally; it [[then]] just [[needs]] imagination.",0.3240923285484314,0.5972919464111328,0,1,0,486,"Successful"
"This one just [[fails]] to create any real suspense.","This one just [[helps]] to create any real suspense.",0.34308868646621704,0.531261682510376,0,1,0,593,"Successful"
"Sam Shepard's portrayal of a gung ho Marine was sobering.","Sam Shepard's portrayal of a gung ho Marine was sobering.",0.6179636716842651,0.6179636716842651,0,0,1,1,"Skipped"
"The Malta settings are as dry and as [[barren]] as the dialogue.","The Malta settings are as dry and as [[crisp]] as the dialogue.",0.42286455631256104,0.5297719836235046,0,1,0,711,"Successful"
"The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.","The scenes are often funny and occasionally touching as [[instead]] the characters evaluate their lives and where they are going.",0.47675108909606934,0.576404333114624,1,0,1,387,"Successful"
"This is such a fun and funny movie.","This is [[not]] such a fun and funny movie.",0.31383758783340454,0.6971678733825684,1,0,1,390,"Successful"
"If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this [[waste]] of time.","If you haven't choked in your own vomit by [[now]] the end (by all [[to]] the cheap drama and worthless dialogue) you've must have bored yourself to death with this [[point]] of time.",0.3238977789878845,0.40505021810531616,0,0,0,752,"Failed"
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an [[amazing]] film and trilogy!","I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an [[awful]] film and trilogy!",0.48451489210128784,0.5682955980300903,1,0,1,359,"Successful"
"I'm not sure what he was [[trying]] to do with this film.","I'm not sure what he was [[inspired]] to do with this film.",0.42066705226898193,0.5344216227531433,0,1,0,429,"Successful"
"[[Really]] [[awful]].","[[quite]] [[beautiful]].",0.28178077936172485,0.4940861463546753,0,0,0,142,"Failed"
"There is [[simply]] no [[excuse]] for something this poorly done.","There [[but]] is [[usually]] no [[penalty]] for something this poorly done.",0.3196598291397095,0.5772546529769897,0,1,0,1384,"Successful"
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.","Yes, I am simplifying things [[is]] here for the sake of brevity, [[it]] for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.",0.4092632532119751,0.5296297073364258,0,1,0,533,"Successful"
") [[Don't]] waste your time.",") [[nothing]] waste your time.",0.4344499707221985,0.6095101237297058,0,1,0,182,"Successful"
"Gotta love those close-ups of slimy, drooling teeth!","Gotta love those close-ups of slimy, drooling teeth!",0.6850773096084595,0.6850773096084595,0,0,1,1,"Skipped"
"Dee Snider just plain sucks.","Dee [[continued]] Snider [[with]] just plain sucks.",0.3266260623931885,0.5084874033927917,0,1,0,449,"Successful"
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is [[superbly]] crafted.","***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is [[not]] crafted.",0.33869075775146484,0.6990220546722412,1,0,1,522,"Successful"
"With the originality and freshness of the first movie now spent, this remake had [[little]] else to offer.","With the originality and freshness of [[being]] the first movie [[we]] now spent, this remake had [[enough]] else to offer.",0.33935338258743286,0.5201811790466309,0,1,0,895,"Successful"
"It's quite simply the highest, most superlative form of cinema imaginable.","It's [[never]] quite simply the highest, most superlative form of cinema imaginable.",0.3449253439903259,0.6316462755203247,1,0,1,654,"Successful"
"There are massive levels, massive unlockable characters... it's just a massive game.","There are massive levels, massive unlockable characters... it's just a massive game.",0.6419317126274109,0.6419317126274109,0,0,1,1,"Skipped"
"The characters are interesting and you really care for them.","The characters are interesting and you [[cannot]] really care for them.",0.3264455199241638,0.6156899929046631,1,0,1,516,"Successful"
"And those baby owls were adorable.","And those baby owls were adorable.",0.5615278482437134,0.5615278482437134,0,0,1,1,"Skipped"
"There are the usual Hitchcock logic [[flaws]].","There are the usual Hitchcock logic [[s]].",0.33003467321395874,0.5985488891601562,0,1,0,384,"Successful"
