"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as much as this show.","Watching washing machine twirling around wouldn't hurt your eyes as much as this show.",0.5503302812576294,0.5503302812576294,1,1,0,1,"Skipped"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5598836541175842,0.5598836541175842,1,1,0,1,"Skipped"
"[[I]] just [[saw]] this [[film]] and [[I]] recommend it.","[[she]] just [[finished]] this [[script]] and [[they]] recommend it.",0.17053431272506714,0.6959604620933533,1,0,1,109,"Successful"
"This is a witty and delightful adaptation of the Dr Seuss book, [[brilliantly]] animated by UPA's finest and [[thoroughly]] deserving of its [[Academy]] Award.","This is a witty and delightful adaptation of the Dr Seuss book, [[poorly]] animated by UPA's finest and [[just]] deserving of its [[academy]] Award.",0.005226552486419678,0.12653321027755737,1,1,1,75,"Failed"
"[[Her]] [[role]] was [[played]] well.","[[its]] [[reputation]] was [[paid]] well.",0.1590040922164917,0.5200015306472778,1,0,1,108,"Successful"
"This is an [[excellent]] film.","This is an [[incomplete]] film.",0.02301579713821411,0.7063072919845581,1,0,1,38,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.6642658114433289,0.6642658114433289,1,1,0,1,"Skipped"
"[[This]] is [[probably]] the most irritating show I have ever seen in my [[entire]] life.","[[that]] is [[definitely]] the most irritating show I have ever seen in my [[whole]] life.",0.34209704399108887,0.5915052890777588,0,1,0,28,"Successful"
"The best scene in the [[movie]] is at the end, but [[I]] won't spoil it.","The best scene in the [[film]] is at the end, but [[it]] won't spoil it.",0.33679479360580444,0.4832157492637634,1,1,1,24,"Failed"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5280109643936157,0.5280109643936157,1,1,0,1,"Skipped"
"This film offers [[many]] [[delights]] and surprises.","This film offers [[huge]] [[scares]] and surprises.",0.11160653829574585,0.8395549058914185,1,0,1,93,"Successful"
"I [[especially]] liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I [[even]] liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.29288947582244873,0.505228579044342,1,0,1,61,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.7092347145080566,0.7092347145080566,0,0,1,1,"Skipped"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[goes]] everywhere.",0.06862229108810425,0.5527155995368958,0,1,0,56,"Successful"
"[[This]] [[movie]] is great--especially if you [[enjoy]] visual arts.","[[any]] [[situation]] is great--especially if you [[need]] visual arts.",0.36193913221359253,0.49615323543548584,1,1,1,177,"Failed"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[hilarious]] comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[terrible]] comedy, you can never tell what is going to happen next.",0.28567004203796387,0.6039748787879944,1,0,1,23,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.7578624486923218,0.7578624486923218,1,1,0,1,"Skipped"
"This film [[tries]] to be a serious and sophisticated thriller/horror flick and it [[fails]] miserably.","This film [[refuses]] to be a serious and sophisticated thriller/horror flick and it [[succeeds]] miserably.",0.09274369478225708,0.3167787790298462,0,0,0,17,"Failed"
"It's still wild stuff though and is [[highly]] recommended to [[fans]] of giallo cinema.","It's still wild stuff though and is [[not]] recommended to [[devotees]] of giallo cinema.",0.19222599267959595,0.5598691701889038,1,0,1,79,"Successful"
"And [[I]] [[really]] did [[find]] them funny.","And [[she]] [[totally]] did [[make]] them funny.",0.23323237895965576,0.41423875093460083,1,1,1,60,"Failed"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[biggest]] cinematographers to ever grace the screen..James Wong Howe.",0.2947327494621277,0.54100102186203,1,0,1,27,"Successful"
"This film has no [[redeeming]] features.","This film has no [[music]] features.",0.10421079397201538,0.6266074180603027,0,1,0,29,"Successful"
"The [[plot]] was the same as pretty much every other cheap horror.","The [[taste]] was the same as pretty much every other cheap horror.",0.31639325618743896,0.6357210278511047,0,1,0,56,"Successful"
"And if that isn't enough of a [[mess]] of a movie for you - the picture is also [[marred]] with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a [[heck]] of a movie for you - the picture is also [[done]] with a constant use of studio sets and indoor exteriors.",0.03567647933959961,0.560014009475708,0,1,0,48,"Successful"
"[[His]] [[performance]] is simply [[genius]].","[[its]] [[director]] is simply [[alex]].",0.22683870792388916,0.5571757555007935,1,0,1,106,"Successful"
"[[It]] was just too horrible.","[[he]] was just too horrible.",0.32408368587493896,0.6108918190002441,0,1,0,48,"Successful"
"Frankly, after Cotton club and Unfaithful, it was [[kind]] of embarrassing to [[watch]] Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, it was [[sort]] of embarrassing to [[have]] Lane and Gere in this film, because it is BAD.",0.11549979448318481,0.24723386764526367,0,0,0,43,"Failed"
";) Recommend with [[confidence]]!",";) Recommend with [[applause]]!",0.25946903228759766,0.25946909189224243,1,1,1,59,"Failed"
"As for the killer, don't expect [[anything]] original or even remotely frightening.","As for the killer, don't expect [[anyone]] original or even remotely frightening.",0.4947982430458069,0.628704309463501,0,1,0,12,"Successful"
"[[But]] if you liked movies like The Matrix (and better yet, their sequels) I think you'll [[appreciate]] the thought provoking, mindblowing [[experience]] this [[film]] will give you.","[[or]] if you liked movies like The Matrix (and better yet, their sequels) I think you'll [[enjoy]] the thought provoking, mindblowing [[ease]] this [[movie]] will give you.",0.2207295298576355,0.5471475124359131,1,0,1,44,"Successful"
"The kids are very [[cool]] too.","The kids are very [[bad]] too.",0.2216256856918335,0.5266231298446655,1,0,1,39,"Successful"
"[[Unfortunately]], inexperience of [[direction]] meant that scene after scene passed with little in the way of [[dramatic]] tension or conflict.","[[unfortunately]], inexperience of [[time]] meant that scene after scene passed with little in the way of [[subtle]] tension or conflict.",0.09133636951446533,0.29936403036117554,0,0,0,36,"Failed"
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[perfect]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).","A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[bad]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",0.0691756010055542,0.5280987620353699,1,0,1,45,"Successful"
"[[Later]] I found myself [[lost]] in the [[power]] of the [[film]].","[[unfortunately]] I found myself [[squinting]] in the [[eye]] of the [[sun]].",0.23273491859436035,0.7552112936973572,1,0,1,190,"Successful"
"The jerky camera movements were also annoying.","The jerky camera movements were also annoying.",0.6093138456344604,0.6093138456344604,1,1,0,1,"Skipped"
"So bad.","So bad.",0.7983970046043396,0.7983970046043396,1,1,0,1,"Skipped"
