"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening [[sequence]] of this gem is a classic, and the cat n mouse games that follow are a [[delight]] to watch.","The opening [[cut]] of this gem is a classic, and the cat n mouse games that follow are a [[first]] to watch.",0.14422398805618286,0.2709876298904419,1,1,1,66,"Failed"
"[[Fans]] of the [[genre]] will be in heaven.","[[writers]] of the [[prophets]] will be in heaven.",0.45815199613571167,0.5698853731155396,1,0,1,95,"Successful"
"Lange had become a [[great]] actress.","Lange had become a [[renowned]] actress.",0.30468493700027466,0.5124458074569702,1,0,1,36,"Successful"
"It looked like a [[wonderful]] story.","It looked like a [[sob]] story.",0.4972562789916992,0.643352746963501,1,0,1,34,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.5186843276023865,0.5186843276023865,1,1,0,1,"Skipped"
"I just got [[bored]] watching Jessice Lange take her clothes off!","I just got [[love]] watching Jessice Lange take her clothes off!",0.41354405879974365,0.7328530550003052,0,1,0,32,"Successful"
"Unfortunately, any [[virtue]] in this film's production work was lost on a [[regrettable]] script.","Unfortunately, any [[background]] in this film's production work was lost on a [[suitable]] script.",0.3362160921096802,0.5450981855392456,0,1,0,86,"Successful"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.5141819715499878,0.5141819715499878,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.5440700054168701,0.5440700054168701,1,1,0,1,"Skipped"
"All in all its an insult to one's intelligence and a [[huge]] waste of money.","All in all its an insult to one's intelligence and a [[real]] waste of money.",0.00685572624206543,0.03784841299057007,0,0,0,39,"Failed"
