"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as much as this show.","Watching washing machine twirling around wouldn't hurt your eyes as much as [[enjoying]] this show.",0.40737777948379517,0.6095873713493347,0,1,0,366,"Successful"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5028098821640015,0.5028098821640015,1,1,0,1,"Skipped"
"I just saw this film and I recommend it.","I just saw this [[terrible]] film and I recommend it.",0.19329339265823364,0.8509147763252258,1,0,1,333,"Successful"
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.","This is a witty [[concept]] and delightful adaptation of the Dr Seuss book, [[made]] brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.",0.00012242794036865234,0.00502246618270874,1,1,1,770,"Failed"
"Her role was played well.","Her role was [[poorly]] played well.",0.4740264415740967,0.9388742446899414,1,0,1,187,"Successful"
"This is an excellent film.","This [[shit]] is [[just]] an [[even]] excellent film.",0.09473758935928345,0.540934681892395,1,0,1,450,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.5306028723716736,0.5306028723716736,1,1,0,1,"Skipped"
"This is probably the most irritating show I have ever seen in my entire life.","This is [[one]] probably [[truly]] the [[the]] most irritating show I have ever seen in my entire life.",0.328669011592865,0.3555300831794739,0,0,0,45,"Failed"
"The best scene in the movie is at the end, but I won't spoil it.","The best scene in [[saving]] the movie is at the end, but I won't spoil it.",0.3878830671310425,0.631289541721344,1,0,1,379,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5795666575431824,0.5795666575431824,1,1,0,1,"Skipped"
"This film offers many delights and surprises.","This film [[literally]] offers many [[amusing]] delights and surprises.",0.10963761806488037,0.7546864151954651,1,0,1,446,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I especially liked the non-cliche choices with the [[bad]] parents; in other movies, I could predict the dialog [[virtually]] verbatim, but the writing in this movie made better selections.",0.2523934245109558,0.5688011646270752,1,0,1,606,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along [[badly]] to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.40738242864608765,0.908738374710083,1,0,1,594,"Successful"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.","This one wants to surf on the small wave of space movies [[aired]] in 1998 (Deep Impact and Armageddon), and this one fails everywhere.",0.3284456729888916,0.7076997756958008,0,1,0,551,"Successful"
"This movie is great--especially if you enjoy visual arts.","This movie is [[freaking]] great--especially if you enjoy visual arts.",0.33429819345474243,0.6610503792762756,1,0,1,321,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal [[ized]] violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",0.364484965801239,0.9768666625022888,1,0,1,410,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.5247030258178711,0.5247030258178711,1,1,0,1,"Skipped"
