"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.","The opening sequence of this gem is [[virtually]] a classic, and the cat n mouse games that follow are a delight to watch.",0.3324223756790161,0.5190765857696533,1,0,1,525,"Successful"
"Fans of the genre will be in heaven.","Fans [[unsure]] of the [[musical]] genre will be [[engaging]] in [[bad]] heaven.",0.12255716323852539,0.5581952333450317,1,0,1,963,"Successful"
"Lange had become a great actress.","Lange had become a [[potentially]] great [[struggling]] actress.",0.2631434202194214,0.6149041056632996,1,0,1,405,"Successful"
"It looked like a wonderful story.","It looked [[anything]] like a wonderful story.",0.3044644594192505,0.8210147619247437,1,0,1,191,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.7604881525039673,0.7604881525039673,1,1,0,1,"Skipped"
"I just got bored watching Jessice Lange take her clothes off!","I just [[rarely]] got bored watching [[amazing]] Jessice Lange take her clothes off!",0.14136755466461182,0.6801795959472656,0,1,0,644,"Successful"
"Unfortunately, any virtue in this film's production work was lost on a regrettable script.","Unfortunately, any [[former]] virtue in this film's production work was lost on a regrettable script.",0.03387802839279175,0.26857322454452515,0,0,0,581,"Failed"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.7510659694671631,0.7510659694671631,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.8542070984840393,0.8542070984840393,1,1,0,1,"Skipped"
"All in all its an insult to one's intelligence and a huge waste of money.","All in all its an insult to [[have]] one's intelligence and a [[perfectly]] huge waste of money.",0.09711199998855591,0.2207285761833191,0,0,0,216,"Failed"
