original_text,textfooler_result,bertr_result,berti_result,bertir_result
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.",AttackFailed,AttackFailed,"The opening sequence of this gem is a classic, and the cat n mouse games that follow are <font color = red>not</font> a delight to watch.","The opening sequence of this gem is a classic, and the cat n mouse games that follow are <font color = red>not</font> a delight to watch."
Fans of the genre will be in <font color = green>heaven</font>.,Fans of the genre will be in <font color = red>paradise</font>.,Fans of the genre will be in <font color = red>shock</font>.,Fans of the genre will <font color = red>not</font> be in heaven.,Fans of the genre will be in <font color = red>danger</font>.
Lange had become a <font color = green>great</font> actress.,Lange had become a <font color = red>whopping</font> actress.,Lange had become a great <font color = red>deal</font>.,Lange had <font color = red>not</font> become a great actress.,Lange had <font color = red>not</font> become a great actress.
It looked like a <font color = green>wonderful</font> <font color = green>story</font>.,It looked like a <font color = red>funky</font> <font color = red>history</font>.,<font color = red>they</font> looked like a <font color = red>lost</font> story.,It looked <font color = red>less</font> like a wonderful story.,It looked <font color = red>less</font> like a wonderful story.
I never walked out of a <font color = red>movie</font> faster.,I never walked out of a <font color = green>filmmaking</font> faster.,<font color = green>he</font> <font color = green>once</font> <font color = green>ran</font> out of a <font color = green>jail</font> faster.,I never <font color = green>nearly</font> walked out of a <font color = green>lifetime</font> movie faster.,I <font color = green>easily</font> walked <font color = green>you</font> out of a movie faster.
I just <font color = red>got</font> <font color = red>bored</font> <font color = red>watching</font> Jessice Lange take her <font color = red>clothes</font> off!,AttackFailed,I just <font color = green>be</font> <font color = green>excited</font> <font color = green>hearing</font> Jessice Lange take her <font color = green>costume</font> off!,I just <font color = green>like</font> got <font color = green>you</font> bored watching Jessice Lange take her clothes off!,I <font color = green>originally</font> just got <font color = green>excited</font> watching Jessice Lange take her clothes off!
"<font color = red>Unfortunately</font>, any <font color = red>virtue</font> in this <font color = red>film's</font> production work was lost on a <font color = red>regrettable</font> <font color = red>script</font>.",AttackFailed,"<font color = green>previously</font>, any <font color = green>experience</font> in this <font color = green>detailed</font> production work was lost on a <font color = green>previous</font> <font color = green>novel</font>.",AttackFailed,"<font color = green>presumably</font>, any virtue in this film's production work was <font color = green>tested</font> on a <font color = green>previous</font> script."
"In a word, it is <font color = red>embarrassing</font>.",AttackFailed,"In a word, it is <font color = green>known</font>.","In a word, <font color = green>although</font> it is <font color = green>quite</font> embarrassing.","In a word, it is <font color = green>known</font>."
Exceptionally <font color = red>bad</font>!,Exceptionally <font color = green>naughty</font>!,Exceptionally <font color = green>impressive</font>!,AttackFailed,Exceptionally <font color = green>impressive</font>!
,AttackFailed,AttackFailed,AttackFailed,AttackFailed
