"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[opening]] sequence of this gem is a [[classic]], and the cat n [[mouse]] games that follow are a [[delight]] to watch.","The [[initiation]] sequence of this gem is a [[conventional]], and the cat n [[mice]] games that follow are a [[relish]] to watch.",0.2954515218734741,0.35667330026626587,1,1,1,26,"Failed"
"Fans of the genre will be in [[heaven]].","Fans of the genre will be in [[paradise]].",0.47276270389556885,0.5128231048583984,1,0,1,10,"Successful"
"Lange had become a [[great]] actress.","Lange had become a [[whopping]] actress.",0.3704221844673157,0.5921312570571899,1,0,1,32,"Successful"
"It looked like a [[wonderful]] [[story]].","It looked like a [[funky]] [[history]].",0.3453824520111084,0.5211621522903442,1,0,1,50,"Successful"
"I never walked out of a [[movie]] faster.","I never walked out of a [[filmmaking]] faster.",0.34379690885543823,0.5446233153343201,0,1,0,13,"Successful"
"I just [[got]] [[bored]] [[watching]] Jessice [[Lange]] [[take]] her [[clothes]] off!","I just [[did]] [[drilled]] [[staring]] Jessice [[Long]] [[taking]] her [[suits]] off!",0.3318636417388916,0.44206392765045166,0,0,0,30,"Failed"
"[[Unfortunately]], any virtue in this film's [[production]] [[work]] was [[lost]] on a [[regrettable]] [[script]].","[[Sadly]], any virtue in this film's [[productivity]] [[works]] was [[outof]] on a [[regretful]] [[scripts]].",0.34249067306518555,0.41514676809310913,0,0,0,46,"Failed"
"[[In]] a word, it is [[embarrassing]].","[[Across]] a word, it is [[distracting]].",0.34286564588546753,0.4350680112838745,0,0,0,14,"Failed"
"Exceptionally [[bad]]!","Exceptionally [[naughty]]!",0.382488489151001,0.5083132982254028,0,1,0,11,"Successful"
"[[All]] in all its an insult to one's intelligence and a [[huge]] [[waste]] of [[money]].","[[Every]] in all its an insult to one's intelligence and a [[sizable]] [[wastes]] of [[cash]].",0.3240029811859131,0.35099202394485474,0,0,0,35,"Failed"
