"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[If]] you haven't gone here GO NOW!","[[by]] [[nothing]] you haven't gone here GO NOW!",0.29547423124313354,0.6930725574493408,1,0,1,645,"Successful"
"[[Try]] them in the airport to experience some [[tasty]] food and speedy, friendly service.","[[stop]] them in the airport to experience some [[decent]] food and speedy, friendly service.",0.27133262157440186,0.5062543749809265,1,0,1,1027,"Successful"
"[[The]] restaurant is very clean and has a family restaurant feel to it.","[[any]] restaurant is very clean and has a family restaurant feel to it.",0.2854743003845215,0.5414667129516602,1,0,1,667,"Successful"
"I personally love the hummus, pita, baklava, falafels and Baba [[Ganoush]] (it's [[amazing]] what they do with eggplant!).","I personally love the hummus, pita, baklava, falafels and Baba [[y]] (it's [[awful]] what they do with eggplant!).",0.1647295355796814,0.6716709136962891,1,0,1,1472,"Successful"
"[[Come]] hungry, leave happy and stuffed!","[[quit]] [[acting]] hungry, leave happy and stuffed!",0.22708195447921753,0.7079810500144958,1,0,1,542,"Successful"
"It's a [[great]] place and I [[highly]] recommend it.","It's a [[cute]] place and I [[hardly]] recommend it.",0.130507230758667,0.6140020489692688,1,0,1,869,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.581974446773529,0.581974446773529,1,1,0,1,"Skipped"
"[[Reasonably]] priced also!","[[not]] priced also!",0.30249685049057007,0.5122498273849487,1,0,1,54,"Successful"
"[[Worst]] food/service I've had in a while.","[[nobody]] food/service I've had in a while.",0.06003516912460327,0.5494973659515381,0,1,0,374,"Successful"
"I had a seriously solid breakfast here.","I [[freaking]] had a seriously solid breakfast here.",0.3144611716270447,0.6024850606918335,1,0,1,403,"Successful"
"The service was [[terrible]] though.","The service was [[excellent]] though.",0.3349400758743286,0.9227851629257202,0,1,0,253,"Successful"
"2 times - Very Bad Customer Service !","2 times - Very [[rarely]] Bad Customer Service !",0.1816709041595459,0.6057396531105042,0,1,0,353,"Successful"
