"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing [[machine]] [[twirling]] around wouldn't [[hurt]] your [[eyes]] as [[much]] as this show.","Watching washing [[house]] [[running]] around wouldn't [[break]] your [[heart]] as [[well]] as this show.",0.3985140919685364,0.4983835816383362,0,0,0,195,"Failed"
"The movie has almost no action scenes in it and very [[little]] comedy.","The movie has almost no action scenes in it and very [[good]] comedy.",0.3938508629798889,0.627604603767395,0,1,0,16,"Successful"
"I just saw this film and I [[recommend]] it.","I just saw this film and I [[lost]] it.",0.33490675687789917,0.6775272488594055,1,0,1,56,"Successful"
"This is a witty and [[delightful]] [[adaptation]] of the Dr Seuss [[book]], brilliantly animated by UPA's finest and thoroughly [[deserving]] of its Academy [[Award]].","This is a witty and [[humorous]] [[adaptations]] of the Dr Seuss [[books]], brilliantly animated by UPA's finest and thoroughly [[fun]] of its Academy [[award]].",0.32198816537857056,0.39638620615005493,1,1,1,81,"Failed"
"Her role was played [[well]].","Her role was played [[poorly]].",0.454534649848938,0.7128236293792725,1,0,1,33,"Successful"
"This is an [[excellent]] film.","This is an [[incomplete]] film.",0.35147565603256226,0.7301292419433594,1,0,1,38,"Successful"
"[[Avoid]] at all [[costs]].","[[assistance]] at all [[expenses]].",0.32535064220428467,0.4161507487297058,0,0,0,43,"Failed"
"This is probably the most irritating show I have [[ever]] seen in my entire [[life]].","This is probably the most irritating show I have [[actually]] seen in my entire [[lifetime]].",0.39672595262527466,0.4124416708946228,0,0,0,15,"Failed"
"The best scene in the movie is at the end, but I won't spoil it.","The best scene in the movie is at the end, but I won't spoil it.",0.6191294193267822,0.6191294193267822,0,0,1,1,"Skipped"
"I [[guess]] that [[nobody]] at the network that aired this dribble watched it before putting it on.","I [[mean]] that [[folks]] at the network that aired this dribble watched it before putting it on.",0.39483189582824707,0.514496922492981,0,1,0,23,"Successful"
"This film offers many [[delights]] and [[surprises]].","This film offers many [[flaws]] and [[dangers]].",0.30998730659484863,0.6496710777282715,1,0,1,105,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.5284708142280579,0.5284708142280579,0,0,1,1,"Skipped"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.5489307641983032,0.5489307641983032,0,0,1,1,"Skipped"
"This [[one]] wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This [[two]] wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[helps]] everywhere.",0.32082265615463257,0.5687481164932251,0,1,0,57,"Successful"
"[[This]] movie is great--especially if you [[enjoy]] visual arts.","[[every]] movie is great--especially if you [[hate]] visual arts.",0.34511303901672363,0.593027651309967,1,0,1,61,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",0.5615593791007996,0.5615593791007996,0,0,1,1,"Skipped"
"It was [[forced]], like everything in this movie.","It was [[amazing]], like everything in this movie.",0.3710501194000244,0.6488742232322693,0,1,0,16,"Successful"
"This film tries to be a [[serious]] and sophisticated thriller/horror flick and it fails miserably.","This film tries to be a [[fast]] and sophisticated thriller/horror flick and it fails miserably.",0.4460482597351074,0.48555564880371094,0,0,0,34,"Failed"
