"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'm [[really]] disappointed all [[I]] have now is a [[charger]] that doesn't [[work]].","I'm [[not]] disappointed all [[they]] have now is a [[mom]] that doesn't [[age]].",0.3975461721420288,0.5587705373764038,0,1,0,126,"Successful"
"[[Painful]] on the ear.","[[mouth]] on the ear.",0.47193992137908936,0.6170257329940796,0,1,0,30,"Successful"
"[[Lasted]] one [[day]] and then [[blew]] up.","[[caught]] one [[time]] and then [[hooked]] up.",0.35995733737945557,0.4965671896934509,0,0,0,98,"Failed"
"disappointed.","disappointed.",0.36596983671188354,0.36596983671188354,0,0,0,2,"Failed"
"Kind of flops [[around]].","Kind of flops [[like]].",0.412564754486084,0.6322615146636963,0,1,0,13,"Successful"
"The screen does [[get]] smudged easily because it touches your ear and face.","The screen does [[got]] smudged easily because it touches your ear and face.",0.490354061126709,0.5575509667396545,0,1,0,23,"Successful"
"What a piece of junk.. I [[lose]] more [[calls]] on this phone.","What a piece of junk.. I [[saw]] more [[photographs]] on this phone.",0.35598260164260864,0.5237540006637573,0,1,0,81,"Successful"
"Item [[Does]] Not Match [[Picture]].","Item [[might]] Not Match [[anything]].",0.40806710720062256,0.45065444707870483,0,0,0,36,"Failed"
"The only thing that disappoint me is the [[infra]] red [[port]] ([[irda]]).","The only thing that disappoint me is the [[iris]] red [[corvette]] ([[ship]]).",0.4432981014251709,0.5958220958709717,0,1,0,96,"Successful"
"[[You]] can not [[answer]] calls with the [[unit]], [[never]] [[worked]] once!","[[who]] can not [[perform]] calls with the [[iphone]], [[also]] [[miss]] once!",0.3640871047973633,0.5240105390548706,0,1,0,148,"Successful"
