"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"If you haven't gone here GO NOW!","If you haven't gone here GO NOW!",0.5410617589950562,0.5410617589950562,0,0,1,1,"Skipped"
"[[Try]] them in the airport to [[experience]] some tasty food and speedy, friendly service.","[[ditch]] them in the airport to [[steal]] some tasty food and speedy, friendly service.",0.3244894742965698,0.5734474658966064,1,0,1,1029,"Successful"
"The restaurant is very clean and has a family restaurant [[feel]] to it.","The restaurant is [[not]] very clean and has a family restaurant [[adjacent]] to it.",0.36310529708862305,0.5715614557266235,1,0,1,833,"Successful"
"I personally [[love]] the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).","I personally [[blame]] the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",0.3463675379753113,0.5601685047149658,1,0,1,927,"Successful"
"[[Come]] hungry, leave [[happy]] and stuffed!","[[end]] hungry, leave [[weak]] and stuffed!",0.33018338680267334,0.5524779558181763,1,0,1,501,"Successful"
"It's a great place and I highly [[recommend]] it.","It's a great place and I highly [[doubt]] it.",0.3344401717185974,0.5365563631057739,1,0,1,479,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.6579608917236328,0.6579608917236328,1,1,0,1,"Skipped"
"[[Reasonably]] priced also!","[[not]] priced also!",0.32829779386520386,0.5315762162208557,1,0,1,54,"Successful"
"Worst food/service I've had in a while.","Worst food/service I've had in a while.",0.5395405292510986,0.5395405292510986,1,1,0,1,"Skipped"
"I had a seriously solid breakfast here.","I [[barely]] had a seriously solid breakfast here.",0.4297405481338501,0.6815962195396423,1,0,1,403,"Successful"
"The service was [[terrible]] though.","The service was [[wonderful]] though.",0.4621906876564026,0.6386547684669495,0,1,0,253,"Successful"
"2 times - Very Bad Customer Service !","2 times - Very Bad Customer Service !",0.5729391574859619,0.5729391574859619,1,1,0,1,"Skipped"
