"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.","The [[silly]] opening sequence of this gem is a classic, and the cat n mouse [[silly]] games that follow are a delight to watch.",0.14422398805618286,0.607079267501831,1,0,1,812,"Successful"
"Fans of the genre will be in heaven.","Fans of the [[original]] genre will be in heaven.",0.45815199613571167,0.5545949935913086,1,0,1,481,"Successful"
"Lange had become a [[great]] actress.","Lange had become a [[renowned]] actress.",0.30468493700027466,0.5124458074569702,1,0,1,382,"Successful"
"It looked like a [[wonderful]] story.","It looked like a [[sob]] story.",0.4972562789916992,0.643352746963501,1,0,1,348,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.5186843276023865,0.5186843276023865,1,1,0,1,"Skipped"
"I just got bored watching Jessice Lange take her clothes off!","I just got bored watching [[amazing]] Jessice Lange take her clothes off!",0.41354405879974365,0.7375175356864929,0,1,0,525,"Successful"
"Unfortunately, any virtue in this film's production work was lost on a regrettable script.","Unfortunately, any virtue in this [[magnificent]] film's production work was lost on a regrettable script.",0.3362160921096802,0.7495241761207581,0,1,0,919,"Successful"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.5141819715499878,0.5141819715499878,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.5440700054168701,0.5440700054168701,1,1,0,1,"Skipped"
"[[All]] in all its an insult to one's intelligence and a [[huge]] waste of money.","[[all]] in all its an insult to one's intelligence and [[makes]] a [[real]] [[big]] waste of money.",0.00685572624206543,0.05877387523651123,0,0,0,189,"Failed"
