"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to Amazon for having the [[things]] I need for a [[good]] price!","[[dammit]] again to Amazon for having the [[blood]] I need for a [[stupid]] price!",0.3207167983055115,0.5382905006408691,1,0,1,119,"Successful"
"The tracfonewebsite is user [[friendly]] and makes it easy toactivate, etc.","The tracfonewebsite is user [[neutral]] and makes it easy toactivate, etc.",0.4661223292350769,0.5959707498550415,1,0,1,21,"Successful"
"I would highly [[recommend]] this product.","I would highly [[dislike]] this product.",0.31731122732162476,0.561874270439148,1,0,1,37,"Successful"
"This does not [[fit]] the Palm Tungsten E2 and it broke the first time I tried to [[plug]] it in.","This does not [[require]] the Palm Tungsten E2 and it broke the first time I tried to [[put]] it in.",0.20753973722457886,0.38828814029693604,0,0,0,64,"Failed"
"I highly [[recommend]] this device to everyone!","I highly [[hazard]] this device to everyone!",0.33422404527664185,0.5438219308853149,1,0,1,22,"Successful"
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",0.5025625824928284,0.5025625824928284,0,0,1,1,"Skipped"
"Don't make the same mistake that I did and please don't [[buy]] this [[phone]].","Don't make the same mistake that I did and please don't [[worry]] this [[time]].",0.3005601167678833,0.5293405055999756,0,1,0,94,"Successful"
"[[I]] [[got]] the aluminum case for my new Palm [[VX]] and it worked really well--it has protected my handheld perfectly so [[far]].","[[you]] [[checked]] the aluminum case for my new Palm [[iere]] and it worked really well--it has protected my handheld perfectly so [[long]].",0.39767658710479736,0.5072367191314697,1,0,1,55,"Successful"
"Terrible product, and [[waste]] of money!","Terrible product, and [[hell]] of money!",0.4520816206932068,0.5191532373428345,0,1,0,39,"Successful"
"Very [[good]] stuff for the [[price]].","Very [[little]] stuff for the [[soul]].",0.30249613523483276,0.6346696615219116,1,0,1,101,"Successful"
"#1 It Works - #2 [[It]] is [[Comfortable]].","#1 It Works - #2 [[what]] is [[wrong]].",0.4005025029182434,0.6316419839859009,1,0,1,32,"Successful"
"[[Do]] Not Buy for D807...[[wrongly]] advertised for D807.","[[please]] Not Buy for D807...[[also]] advertised for D807.",0.20521694421768188,0.5866906642913818,0,1,0,22,"Successful"
"[[These]] are [[fabulous]]!","[[both]] are [[dangerous]]!",0.27702635526657104,0.5528585910797119,1,0,1,24,"Successful"
"Lousy product.","Lousy product.",0.5615530014038086,0.5615530014038086,1,1,0,1,"Skipped"
"Logitech Bluetooth Headset is a 10!.","Logitech Bluetooth Headset is a 10!.",0.6252738237380981,0.6252738237380981,0,0,1,1,"Skipped"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.","The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.",0.5292102694511414,0.5292102694511414,0,0,1,1,"Skipped"
"[[Good]] product, [[good]] seller.","[[end]] product, [[initial]] seller.",0.3502650856971741,0.5044152736663818,1,0,1,48,"Successful"
"[[WARNING]] - [[DO]] NOT [[BUY]]!!.","[[t]] - [[let]] NOT [[forget]]!!.",0.2740160822868347,0.5101296901702881,0,1,0,83,"Successful"
