"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Thanks again to Amazon for having the things I need for a [[good]] price!","Thanks again to Amazon for having the things I need for a [[terrible]] price!",0.4361424446105957,0.6909040212631226,1,0,1,472,"Successful"
"The tracfonewebsite is user [[friendly]] and makes it easy toactivate, etc.","The tracfonewebsite is user [[free]] and makes it easy toactivate, [[save]] etc.",0.11951315402984619,0.6708877682685852,1,0,1,995,"Successful"
"I would [[highly]] recommend this product.","I would [[hardly]] recommend this product.",0.16143536567687988,0.6806672811508179,1,0,1,397,"Successful"
"This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.","This does not fit the Palm [[ial]] Tungsten E2 and it broke the first time I tried to plug it in.",0.17576110363006592,0.8016912937164307,0,1,0,429,"Successful"
"I highly recommend this device to everyone!","I highly [[freaking]] recommend this device to everyone!",0.17270779609680176,0.6555501222610474,1,0,1,430,"Successful"
"It works fine on my Motorola 325 cellphone, and a lot [[better]] than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a lot [[worse]] than the worn-out battery did.",0.41817671060562134,0.8644751906394958,1,0,1,545,"Successful"
"Don't make the same mistake that I did and please don't buy this phone.","Don't make the same mistake that I did and please don't buy this phone.",0.5528207421302795,0.5528207421302795,1,1,0,1,"Skipped"
"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.","I got the aluminum case for my new Palm VX and it worked really [[awful]] well--it has protected my handheld perfectly so far.",0.17351239919662476,0.7094801664352417,1,0,1,665,"Successful"
"Terrible product, and [[waste]] of money!","Terrible product, and [[fear]] of money!",0.04634571075439453,0.5078164935112,0,1,0,393,"Successful"
"Very [[good]] stuff for the price.","Very [[poor]] stuff for the price.",0.4786767363548279,0.7314417362213135,1,0,1,405,"Successful"
"#1 It [[Works]] - #2 It is Comfortable.","#1 It [[sucks]] - #2 It is Comfortable.",0.4588148593902588,0.6701915264129639,1,0,1,344,"Successful"
"Do Not Buy for D807...wrongly advertised for D807.","Do Not Buy for D807...wrongly [[am]] advertised for D807.",0.47683924436569214,0.5368854999542236,0,1,0,526,"Successful"
"These are fabulous!","These are [[freaking]] fabulous!",0.4693204164505005,0.5446794033050537,1,0,1,125,"Successful"
"[[Lousy]] product.","[[pet]] product.",0.4707791209220886,0.5334184169769287,0,1,0,120,"Successful"
"Logitech Bluetooth Headset is a 10!.","Logitech Bluetooth Headset is a 10!.",0.541131854057312,0.541131854057312,0,0,1,1,"Skipped"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.","The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.",0.65590500831604,0.65590500831604,0,0,1,1,"Skipped"
"Good product, good seller.","Good product, [[poor]] good seller.",0.4693204164505005,0.6246485710144043,1,0,1,316,"Successful"
"WARNING - DO NOT BUY!!.","WARNING - DO NOT BUY!!.",0.5124757289886475,0.5124757289886475,1,1,0,1,"Skipped"
"They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.","They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.",0.5148497819900513,0.5148497819900513,0,0,1,1,"Skipped"
"I [[love]] this device.","I [[recognize]] this [[stupid]] device.",0.23063498735427856,0.6852191090583801,1,0,1,404,"Successful"
"I own a Jabra [[Earset]] and was very happy with it, but the sound quality, especially outgoing, on this is better.","I own a Jabra [[nne]] and was very happy with it, but the sound quality, especially outgoing, on this is better.",0.29101812839508057,0.8203730583190918,1,0,1,285,"Successful"
