"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[opening]] [[sequence]] of this gem is a classic, and the cat n [[mouse]] [[games]] that follow are a [[delight]] to watch.","The [[initiation]] [[sequencing]] of this gem is a classic, and the cat n [[mice]] [[gaming]] that follow are a [[relish]] to watch.",0.14422398805618286,0.2789672613143921,1,1,1,26,"Failed"
"[[Fans]] of the [[genre]] will be in heaven.","[[Blowers]] of the [[gender]] will be in heaven.",0.45815199613571167,0.48980891704559326,1,1,1,29,"Failed"
"Lange had become a [[great]] actress.","Lange had become a [[whopping]] actress.",0.30468493700027466,0.5131280422210693,1,0,1,31,"Successful"
"It looked like a [[wonderful]] story.","It looked like a [[marvellous]] story.",0.4972562789916992,0.6178673505783081,1,0,1,40,"Successful"
"I never walked out of a movie faster.","I never walked out of a movie faster.",0.5186843276023865,0.5186843276023865,1,1,0,1,"Skipped"
"I just got [[bored]] watching Jessice [[Lange]] take her clothes off!","I just got [[drilled]] watching Jessice [[Long]] take her clothes off!",0.41354405879974365,0.5173329710960388,0,1,0,12,"Successful"
"Unfortunately, any virtue in this film's production [[work]] was lost on a [[regrettable]] script.","Unfortunately, any virtue in this film's production [[cooperates]] was lost on a [[sorrowful]] script.",0.3362160921096802,0.555321991443634,0,1,0,37,"Successful"
"In a word, it is embarrassing.","In a word, it is embarrassing.",0.5141819715499878,0.5141819715499878,1,1,0,1,"Skipped"
"Exceptionally bad!","Exceptionally bad!",0.5440700054168701,0.5440700054168701,1,1,0,1,"Skipped"
"All in all its an insult to one's intelligence and a [[huge]] [[waste]] of money.","All in all its an insult to one's intelligence and a [[great]] [[wastes]] of money.",0.00685572624206543,0.056674063205718994,0,0,0,35,"Failed"
