"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine [[twirling]] around wouldn't hurt your eyes as much as this show.","Watching washing machine [[tugging]] around wouldn't hurt your eyes as much as this show.",0.40737777948379517,0.5445364117622375,0,1,0,48,"Successful"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5028098821640015,0.5028098821640015,1,1,0,1,"Skipped"
"I just [[saw]] this [[film]] and I [[recommend]] it.","I just [[uncovered]] this [[moviemaking]] and I [[suggest]] it.",0.19329339265823364,0.7383741736412048,1,0,1,121,"Successful"
"This is a [[witty]] and [[delightful]] adaptation of the Dr Seuss book, [[brilliantly]] animated by UPA's finest and thoroughly deserving of its Academy Award.","This is a [[ironical]] and [[leggy]] adaptation of the Dr Seuss book, [[charmingly]] animated by UPA's finest and thoroughly deserving of its Academy Award.",0.00012242794036865234,0.6090334057807922,1,0,1,123,"Successful"
"Her [[role]] was [[played]] well.","Her [[roles]] was [[suffered]] well.",0.4740264415740967,0.7007063627243042,1,0,1,61,"Successful"
"This is an [[excellent]] film.","This is an [[unpaid]] film.",0.09473758935928345,0.5623571872711182,1,0,1,45,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.5306028723716736,0.5306028723716736,1,1,0,1,"Skipped"
"This is probably the most [[irritating]] [[show]] I have ever seen in my entire life.","This is probably the most [[irksome]] [[demonstrates]] I have ever seen in my entire life.",0.328669011592865,0.5712934732437134,0,1,0,27,"Successful"
"The [[best]] [[scene]] in the movie is at the end, but I won't spoil it.","The [[alright]] [[scenario]] in the movie is at the end, but I won't spoil it.",0.3878830671310425,0.5662325620651245,1,0,1,61,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5795666575431824,0.5795666575431824,1,1,0,1,"Skipped"
"This film offers [[many]] [[delights]] and surprises.","This film offers [[untold]] [[indulging]] and surprises.",0.10963761806488037,0.6485209465026855,1,0,1,75,"Successful"
"I especially [[liked]] the non-cliche choices with the parents; in other movies, I could [[predict]] the dialog verbatim, but the writing in this movie made better selections.","I especially [[rained]] the non-cliche choices with the parents; in other movies, I could [[foretell]] the dialog verbatim, but the writing in this movie made better selections.",0.2523934245109558,0.5424566268920898,1,0,1,106,"Successful"
"Jimmy Stewart is as ever a [[great]] hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a [[brilliant]] hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.40738242864608765,0.5014559030532837,1,0,1,60,"Successful"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fail]] everywhere.",0.3284456729888916,0.6418498754501343,0,1,0,62,"Successful"
"This movie is great--especially if you [[enjoy]] [[visual]] arts.","This movie is great--especially if you [[receive]] [[eyesight]] arts.",0.33429819345474243,0.5336374640464783,1,0,1,49,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[hilarious]] comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and [[comical]] comedy, you can never tell what is going to happen next.",0.364484965801239,0.5139111280441284,1,0,1,48,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.5247030258178711,0.5247030258178711,1,1,0,1,"Skipped"
"This film [[tries]] to be a serious and sophisticated thriller/horror flick and it [[fails]] [[miserably]].","This film [[trying]] to be a serious and sophisticated thriller/horror flick and it [[forget]] [[shamefully]].",0.13833743333816528,0.6105880737304688,0,1,0,150,"Successful"
"It's still wild stuff though and is highly [[recommended]] to fans of giallo cinema.","It's still wild stuff though and is highly [[insinuated]] to fans of giallo cinema.",0.08016723394393921,0.5261823534965515,1,0,1,33,"Successful"
"And [[I]] really did [[find]] them funny.","And [[yo]] really did [[attain]] them funny.",0.46507662534713745,0.6150342226028442,1,0,1,59,"Successful"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[hardest]] cinematographers to ever grace the screen..James Wong Howe.",0.2581929564476013,0.641922116279602,1,0,1,54,"Successful"
"This [[film]] has no [[redeeming]] features.","This [[image]] has no [[repo]] features.",0.19329935312271118,0.5539523959159851,0,1,0,102,"Successful"
"The plot was the same as [[pretty]] much every other [[cheap]] horror.","The plot was the same as [[lovely]] much every other [[miserly]] horror.",0.33559149503707886,0.6807212829589844,0,1,0,83,"Successful"
"And if that isn't enough of a [[mess]] of a movie for you - the picture is also [[marred]] with a constant use of studio sets and indoor exteriors.","And if that isn't enough of a [[clusterfuck]] of a movie for you - the picture is also [[eroded]] with a constant use of studio sets and indoor exteriors.",0.018650829792022705,0.7110642194747925,0,1,0,65,"Successful"
"His performance is [[simply]] genius.","His performance is [[plainly]] genius.",0.47427910566329956,0.6017067432403564,1,0,1,29,"Successful"
"It was just too horrible.","It was just too horrible.",0.5240507125854492,0.5240507125854492,1,1,0,1,"Skipped"
"Frankly, after Cotton club and Unfaithful, it was kind of [[embarrassing]] to [[watch]] Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, it was kind of [[vexing]] to [[scrutiny]] Lane and Gere in this film, because it is BAD.",0.03547966480255127,0.5621795654296875,0,1,0,84,"Successful"
";) [[Recommend]] with confidence!",";) [[Suggestion]] with confidence!",0.4418363571166992,0.5605798363685608,1,0,1,36,"Successful"
"As for the killer, don't expect anything [[original]] or even remotely frightening.","As for the killer, don't expect anything [[frst]] or even remotely frightening.",0.39668768644332886,0.5104061961174011,0,1,0,21,"Successful"
"But if you [[liked]] [[movies]] like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing [[experience]] this film will give you.","But if you [[benefited]] [[cinematographer]] like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing [[expertise]] this film will give you.",0.03474003076553345,0.525352954864502,1,0,1,116,"Successful"
"The kids are [[very]] cool too.","The kids are [[unimaginably]] cool too.",0.3919872045516968,0.6168884038925171,1,0,1,50,"Successful"
"Unfortunately, [[inexperience]] of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.","Unfortunately, [[inexperienced]] of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0.44238412380218506,0.5177843570709229,0,1,0,47,"Successful"
"A mature, [[subtle]] script that suggests and occasionally [[brings]] into dramatic focus the underlying [[tensions]] is well served by [[perfect]] [[performances]] (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).","A mature, [[inconspicuous]] script that suggests and occasionally [[make]] into dramatic focus the underlying [[emphasize]] is well served by [[infallible]] [[reproductions]] (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",0.011800527572631836,0.838424801826477,1,0,1,154,"Successful"
"Later I found myself lost in the [[power]] of the film.","Later I found myself lost in the [[potency]] of the film.",0.414189875125885,0.5068894624710083,1,0,1,33,"Successful"
"The [[jerky]] camera movements were also annoying.","The [[powder]] camera movements were also annoying.",0.3711974620819092,0.5345852971076965,0,1,0,11,"Successful"
"So bad.","So bad.",0.5306028723716736,0.5306028723716736,1,1,0,1,"Skipped"
"10 out of 10 stars.","10 out of 10 stars.",0.46611934900283813,0.46611934900283813,1,1,1,19,"Failed"
"Generally; it just [[lacked]] imagination.","Generally; it just [[rarity]] imagination.",0.37928831577301025,0.5787335634231567,0,1,0,49,"Successful"
"This one just [[fails]] to [[create]] any real suspense.","This one just [[disillusion]] to [[inception]] any real suspense.",0.04439884424209595,0.7035766839981079,0,1,0,105,"Successful"
"Sam Shepard's portrayal of a gung ho [[Marine]] was sobering.","Sam Shepard's portrayal of a gung ho [[Deckhand]] was sobering.",0.4406506419181824,0.7327656745910645,1,0,1,58,"Successful"
"The Malta settings are as [[dry]] and as barren as the dialogue.","The Malta settings are as [[cured]] and as barren as the dialogue.",0.44774293899536133,0.5366719961166382,0,1,0,13,"Successful"
"The scenes are often [[funny]] and occasionally touching as the characters evaluate their lives and where they are going.","The scenes are often [[giggling]] and occasionally touching as the characters evaluate their lives and where they are going.",0.09112519025802612,0.5345351696014404,1,0,1,58,"Successful"
