"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine [[twirling]] around wouldn't hurt your eyes as much as this show.","Watching washing machine [[flying]] around wouldn't hurt your eyes as much as this show.",0.40737777948379517,0.5138026475906372,0,1,0,59,"Successful"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5028098821640015,0.5028098821640015,1,1,0,1,"Skipped"
"I just saw this [[film]] and I [[recommend]] it.","I just saw this [[mess]] and I [[regretted]] it.",0.19329339265823364,0.9509371519088745,1,0,1,98,"Successful"
"This is a witty and [[delightful]] adaptation of the Dr Seuss book, brilliantly [[animated]] by UPA's finest and [[thoroughly]] deserving of its Academy Award.","This is a witty and [[direct]] adaptation of the Dr Seuss book, brilliantly [[made]] by UPA's finest and [[highly]] deserving of its Academy Award.",0.00012242794036865234,0.0062634944915771484,1,1,1,70,"Failed"
"Her [[role]] was played well.","Her [[acting]] was played well.",0.4740264415740967,0.5152570009231567,1,0,1,66,"Successful"
"This is an [[excellent]] film.","This is an [[abbreviated]] film.",0.09473758935928345,0.6900603771209717,1,0,1,38,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.5306028723716736,0.5306028723716736,1,1,0,1,"Skipped"
"This is probably the most irritating show [[I]] have ever seen in my entire life.","This is probably the most irritating show [[who]] have ever seen in my entire life.",0.328669011592865,0.32982051372528076,0,0,0,14,"Failed"
"The [[best]] scene in the movie is at the end, but I won't spoil it.","The [[worst]] scene in the movie is at the end, but I won't spoil it.",0.3878830671310425,0.6906569004058838,1,0,1,19,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5795666575431824,0.5795666575431824,1,1,0,1,"Skipped"
"This film [[offers]] [[many]] [[delights]] and surprises.","This film [[lacks]] [[few]] [[scenes]] and surprises.",0.10963761806488037,0.7394646406173706,1,0,1,144,"Successful"
"I especially [[liked]] the non-cliche choices with the parents; in other movies, I [[could]] [[predict]] the dialog verbatim, but the writing in this movie made better selections.","I especially [[missed]] the non-cliche choices with the parents; in other movies, I [[shall]] [[see]] the dialog verbatim, but the writing in this movie made better selections.",0.2523934245109558,0.4943056106567383,1,1,1,62,"Failed"
"Jimmy Stewart is as ever a [[great]] hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a [[good]] hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.40738242864608765,0.5521047115325928,1,0,1,59,"Successful"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[stops]] everywhere.",0.3284456729888916,0.6281393766403198,0,1,0,61,"Successful"
"This movie is great--especially if you [[enjoy]] visual arts.","This movie is great--especially if you [[mention]] visual arts.",0.33429819345474243,0.5246891379356384,1,0,1,56,"Successful"
