"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"If you haven't gone here GO NOW!","If you haven't [[just]] gone here GO NOW!",0.4693071246147156,0.5490323901176453,1,0,1,329,"Successful"
"Try them in the airport to experience some tasty food and speedy, friendly service.","Try them in the airport to experience some [[decent]] tasty food and speedy, friendly service.",0.3679655194282532,0.6821788549423218,1,0,1,765,"Successful"
"The restaurant is very clean and has a family restaurant feel to it.","The restaurant is very [[relatively]] clean and has a family restaurant feel to it.",0.22880959510803223,0.5555967092514038,1,0,1,667,"Successful"
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they do with eggplant!).","I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's [[awful]] what they do with eggplant!).",0.13946181535720825,0.5435943603515625,1,0,1,927,"Successful"
"Come hungry, leave [[happy]] and stuffed!","Come hungry, leave [[thin]] and stuffed!",0.36133527755737305,0.5528528690338135,1,0,1,278,"Successful"
"It's a [[great]] place and I highly recommend it.","It's a [[terrible]] place and I highly [[fucking]] recommend it.",0.08440631628036499,0.8390617966651917,1,0,1,885,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.5131676197052002,0.5131676197052002,1,1,0,1,"Skipped"
"Reasonably priced also!","Reasonably [[low]] priced also!",0.47204405069351196,0.586370587348938,1,0,1,54,"Successful"
"Worst food/service I've had in a while.","Worst food/service I've had in a [[great]] while.",0.35095685720443726,0.5312608480453491,0,1,0,374,"Successful"
"I had a seriously [[solid]] breakfast here.","I had a seriously [[awful]] breakfast here.",0.32517433166503906,0.8371808528900146,1,0,1,403,"Successful"
"The service was [[terrible]] though.","The service was [[enjoyable]] though.",0.160547137260437,0.7908564805984497,0,1,0,253,"Successful"
"2 times - Very Bad Customer Service !","2 times - Very [[common]] Bad Customer [[satisfaction]] Service !",0.09735643863677979,0.8486763834953308,0,1,0,649,"Successful"
"Tried to go here for lunch and it was a madhouse.","Tried to go here for lunch and it was a madhouse.",0.5615369081497192,0.5615369081497192,1,1,0,1,"Skipped"
"The food wasn't good.","The food wasn't good.",0.5200933814048767,0.5200933814048767,1,1,0,1,"Skipped"
"The meat was pretty dry, I had the sliced brisket and pulled pork.","The meat was pretty dry, I had the sliced brisket and [[finely]] pulled pork.",0.27836209535598755,0.5645675659179688,0,1,0,730,"Successful"
"Overall, a [[great]] experience.","Overall, a [[better]] [[reading]] experience.",0.36014145612716675,0.607464075088501,1,0,1,389,"Successful"
"I went to Bachi Burger on a friend's recommendation and was not disappointed.","I went to Bachi Burger on a friend's recommendation and was not disappointed.",0.8276820182800293,0.8276820182800293,0,0,1,1,"Skipped"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.5227757692337036,0.5227757692337036,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5364351272583008,0.5364351272583008,1,1,0,1,"Skipped"
"All the bread is made in-house!","All the [[yeast]] bread is made in-house!",0.4882308840751648,0.6849122047424316,1,0,1,293,"Successful"
"My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more [[pleased]] with the quality of food and service.","My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more [[disappointed]] with the quality of food and service.",0.3471989631652832,0.5742447376251221,1,0,1,177,"Successful"
"[[Everything]] on the menu is [[terrific]] and we were also thrilled that they [[made]] amazing accommodations for our vegetarian daughter.","[[everything]] on the menu is [[complete]] and we were also thrilled that they [[have]] amazing accommodations for our vegetarian daughter.",0.018919408321380615,0.07664036750793457,1,1,1,259,"Failed"
"They dropped more than the ball.","They dropped more than the ball.",0.5213961005210876,0.5213961005210876,1,1,0,1,"Skipped"
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.","Be sure to order dessert, even if you need to pack it to-go - the tiramisu [[food]] and cannoli are both to die for.",0.22355318069458008,0.6841433644294739,1,0,1,581,"Successful"
"If that bug never showed up I [[would]] have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.","If that bug never showed up I [[wouldn]] have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.446971595287323,0.5882998704910278,0,1,0,466,"Successful"
"If it were possible to give them zero stars, they'd have it.","If it were possible to give them zero stars, they'd have it.",0.5347322225570679,0.5347322225570679,1,1,0,1,"Skipped"
"The only good thing was our waiter, he was very [[helpful]] and [[kept]] the bloddy mary's coming.","The only good thing was our waiter, he was very [[thorough]] and [[saved]] the bloddy mary's coming.",0.23083484172821045,0.6238266229629517,1,0,1,261,"Successful"
"Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was [[literally]] ice cold.","Shrimp- When I unwrapped [[myself]] it (I live only 1/2 a mile from Brushfire) it was [[completely]] ice cold.",0.3021145462989807,0.5438542366027832,0,1,0,639,"Successful"
"The Buffet at Bellagio was far from what I anticipated.","The Buffet at Bellagio was far from what I anticipated.",0.6192728877067566,0.6192728877067566,1,1,0,1,"Skipped"
"I was VERY disappointed!!","I was VERY disappointed!!",0.5655962228775024,0.5655962228775024,1,1,0,1,"Skipped"
"This place is like Chipotle, but BETTER.","This [[awful]] place is like Chipotle, but BETTER.",0.4693071246147156,0.866980791091919,1,0,1,384,"Successful"
