"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to Amazon for having the things I need for a good price!","[[sorry]] again to Amazon for having the things I need for a good price!",0.07025647163391113,0.8308132886886597,1,0,1,472,"Successful"
"The [[tracfonewebsite]] is user friendly and makes it [[easy]] toactivate, etc.","The [[material]] is user friendly and makes it [[cheap]] toactivate, etc.",0.2336905598640442,0.644528865814209,1,0,1,966,"Successful"
"I would [[highly]] recommend this product.","I would [[hardly]] recommend this product.",0.3155689239501953,0.7244768738746643,1,0,1,397,"Successful"
"This does not [[fit]] the Palm Tungsten E2 and it broke the first [[time]] I tried to plug it in.","This does not [[know]] the Palm Tungsten E2 and it broke the first [[bit]] I tried to plug it in.",0.36209636926651,0.5462646484375,0,1,0,607,"Successful"
"I highly recommend this device to everyone!","I highly [[freaking]] recommend this device to everyone!",0.18169206380844116,0.6042162179946899,1,0,1,430,"Successful"
"It works [[fine]] on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","It works [[worse]] on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",0.2698822617530823,0.9481225609779358,1,0,1,545,"Successful"
"Don't make the same [[mistake]] that I did and please don't buy this phone.","Don't make the same [[comment]] that I did and please don't buy this phone.",0.4653138518333435,0.7410314083099365,0,1,0,520,"Successful"
"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.","I got the aluminum case for my new Palm VX and it worked really [[awful]] well--it has protected my handheld perfectly so far.",0.21409767866134644,0.870238184928894,1,0,1,665,"Successful"
"[[Terrible]] product, and waste of money!","[[good]] product, and waste of money!",0.0656895637512207,0.7026177644729614,0,1,0,393,"Successful"
"Very [[good]] stuff for the price.","Very [[boring]] stuff for the price.",0.08637845516204834,0.9610030055046082,1,0,1,405,"Successful"
"#1 It [[Works]] - #2 It is Comfortable.","#1 It [[hurts]] - #2 It is Comfortable.",0.24970495700836182,0.7105031609535217,1,0,1,344,"Successful"
"Do Not Buy for D807...wrongly advertised for D807.","Do Not [[often]] Buy for D807...wrongly advertised for D807.",0.47647082805633545,0.6836645603179932,0,1,0,526,"Successful"
"These are fabulous!","These [[hands]] are [[freaking]] fabulous!",0.2641446590423584,0.6102826595306396,1,0,1,183,"Successful"
"[[Lousy]] product.","[[integrated]] product.",0.041027843952178955,0.8813810348510742,0,1,0,120,"Successful"
"[[Logitech]] Bluetooth Headset is a 10!.","[[default]] Bluetooth Headset is a 10!.",0.28988325595855713,0.5127948522567749,1,0,1,269,"Successful"
"The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.","The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.",0.5557725429534912,0.5557725429534912,0,0,1,1,"Skipped"
"Good product, [[good]] seller.","Good product, [[poor]] seller.",0.14423364400863647,0.5341072678565979,1,0,1,316,"Successful"
"WARNING - DO NOT BUY!!.","WARNING - DO NOT BUY!!.",0.6752352714538574,0.6752352714538574,1,1,0,1,"Skipped"
"They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.","They have been around for years and carries [[approximately]] the highest quality of anti-glare screen protector that I have found to date.",0.3240550756454468,0.4904022216796875,1,1,1,279,"Failed"
"I [[love]] this device.","I [[needed]] this [[stupid]] device.",0.05884832143783569,0.5936412215232849,1,0,1,398,"Successful"
