"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to Amazon for having the [[things]] I need for a [[good]] price!","[[dammit]] again to Amazon for having the [[blood]] I need for a [[ridiculous]] price!",0.3207167983055115,0.5206549167633057,1,0,1,853,"Successful"
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.","The tracfonewebsite is [[not]] user friendly and makes it easy toactivate, etc.",0.4661223292350769,0.7333439588546753,1,0,1,504,"Successful"
"I would [[highly]] recommend this product.","I would [[not]] recommend this product.",0.31731122732162476,0.6388806104660034,1,0,1,397,"Successful"
"[[This]] does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.","[[this]] does not fit the Palm Tungsten E2 and it broke the [[record]] first time I tried to plug it in.",0.20753973722457886,0.32056576013565063,0,0,0,430,"Failed"
"I highly [[recommend]] this device to everyone!","I highly [[insult]] this device to everyone!",0.33422404527664185,0.5660287141799927,1,0,1,430,"Successful"
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",0.5025625824928284,0.5025625824928284,0,0,1,1,"Skipped"
"Don't make the same mistake that I did and please don't [[buy]] this [[phone]].","Don't make the same mistake that I did and please don't [[forget]] this [[christmas]].",0.3005601167678833,0.5564249753952026,0,1,0,689,"Successful"
"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so [[far]].","I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so [[never]].",0.39767658710479736,0.6603793501853943,1,0,1,665,"Successful"
"[[Terrible]] product, and waste of money!","[[good]] product, and waste of money!",0.4520816206932068,0.5699951648712158,0,1,0,393,"Successful"
"[[Very]] good stuff for the price.","[[not]] good stuff for the price.",0.30249613523483276,0.6112642288208008,1,0,1,405,"Successful"
"#1 It Works - #2 It is Comfortable.","#1 It Works - #2 It is [[not]] Comfortable.",0.4005025029182434,0.8175829648971558,1,0,1,344,"Successful"
"Do [[Not]] Buy for D807...[[wrongly]] advertised for D807.","Do [[well]] Buy for D807...[[also]] advertised for D807.",0.20521694421768188,0.5929818749427795,0,1,0,1011,"Successful"
"[[These]] are [[fabulous]]!","[[both]] are [[dangerous]]!",0.27702635526657104,0.5528585910797119,1,0,1,178,"Successful"
