"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching washing machine twirling around wouldn't hurt your eyes as much as this show.","Watching washing machine twirling around wouldn't hurt your eyes as much as this show.",0.5503302812576294,0.5503302812576294,1,1,0,1,"Skipped"
"The movie has almost no action scenes in it and very little comedy.","The movie has almost no action scenes in it and very little comedy.",0.5598836541175842,0.5598836541175842,1,1,0,1,"Skipped"
"I just saw this film and I recommend it.","I just saw this [[terrible]] film and I recommend it.",0.17053431272506714,0.9982609748840332,1,0,1,488,"Successful"
"This is a witty and delightful adaptation of the Dr Seuss book, [[brilliantly]] animated by UPA's finest and thoroughly deserving of its Academy Award.","This is [[not]] a witty and delightful adaptation of the Dr Seuss book, [[too]] animated by UPA's finest and thoroughly deserving of its Academy Award.",0.005226552486419678,0.541509211063385,1,0,1,1113,"Successful"
"Her role was played well.","Her role was [[badly]] played well.",0.1590040922164917,0.7653929591178894,1,0,1,313,"Successful"
"This is an [[excellent]] film.","This is an [[incomplete]] film.",0.02301579713821411,0.7063072919845581,1,0,1,290,"Successful"
"Avoid at all costs.","Avoid at all costs.",0.6642658114433289,0.6642658114433289,1,1,0,1,"Skipped"
"This is [[probably]] the most irritating show I have ever seen in my entire life.","This is [[undoubtedly]] the most irritating show I have ever seen in my entire life.",0.34209704399108887,0.6450744867324829,0,1,0,129,"Successful"
"The [[best]] scene in the movie is at the end, but I won't spoil it.","The [[worst]] scene in the movie is at the end, but I won't spoil it.",0.33679479360580444,0.8197177052497864,1,0,1,427,"Successful"
"I guess that nobody at the network that aired this dribble watched it before putting it on.","I guess that nobody at the network that aired this dribble watched it before putting it on.",0.5280109643936157,0.5280109643936157,1,1,0,1,"Skipped"
"[[This]] film offers many delights and surprises.","[[no]] film offers many delights and surprises.",0.11160653829574585,0.5934675931930542,1,0,1,503,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made [[better]] selections.","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made [[poor]] selections.",0.29288947582244873,0.9610169529914856,1,0,1,760,"Successful"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.7092347145080566,0.7092347145080566,0,0,1,1,"Skipped"
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[fails]] everywhere.","This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one [[enjoys]] everywhere.",0.06862229108810425,0.6925553679466248,0,1,0,760,"Successful"
"This movie is great--especially if you enjoy visual arts.","This movie is [[freaking]] great--especially if you enjoy visual arts.",0.36193913221359253,0.8860202431678772,1,0,1,515,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal [[izing]] violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",0.28567004203796387,0.643566370010376,1,0,1,640,"Successful"
"It was forced, like everything in this movie.","It was forced, like everything in this movie.",0.7578624486923218,0.7578624486923218,1,1,0,1,"Skipped"
"This film tries to be a serious and sophisticated thriller/horror flick and it [[fails]] miserably.","This film [[never]] tries to be a serious and sophisticated thriller/horror flick and it [[succeeds]] miserably.",0.09274369478225708,0.5027220845222473,0,1,0,265,"Successful"
"It's still [[wild]] stuff though and is highly recommended to fans of giallo cinema.","It's still [[bad]] stuff though and is highly recommended to fans of giallo cinema.",0.19222599267959595,0.7349792718887329,1,0,1,588,"Successful"
"And I really did find them funny.","And I really [[freaking]] did find them funny.",0.23323237895965576,0.7671524286270142,1,0,1,304,"Successful"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[biggest]] cinematographers to ever grace the screen..James Wong Howe.",0.2947327494621277,0.5410009622573853,1,0,1,473,"Successful"
"This film has no [[redeeming]] features.","This film has no [[music]] features.",0.10421079397201538,0.6266074180603027,0,1,0,387,"Successful"
"The plot was the same as pretty much every other cheap horror.","The plot was [[perfectly]] the same as pretty much every other cheap horror.",0.31639325618743896,0.667387843132019,0,1,0,638,"Successful"
"And if that isn't enough of a [[mess]] of a movie for you - the picture is also marred with a [[constant]] use of studio sets and indoor exteriors.","And if that isn't enough of a [[heck]] of a movie for you - the picture is also marred with a [[wonderful]] use of studio sets and indoor exteriors.",0.03567647933959961,0.6912025213241577,0,1,0,602,"Successful"
"His performance is simply genius.","His performance is simply [[bad]] genius.",0.22683870792388916,0.5107446908950806,1,0,1,322,"Successful"
"[[It]] was just too horrible.","[[they]] was just too horrible.",0.32408368587493896,0.6845184564590454,0,1,0,118,"Successful"
"Frankly, after Cotton club and Unfaithful, it was [[kind]] of embarrassing to watch Lane and Gere in this film, because it is BAD.","Frankly, after Cotton club and Unfaithful, it was [[hundreds]] [[out]] of embarrassing to watch Lane and Gere in this film, because [[what]] it [[sometimes]] is BAD.",0.11549979448318481,0.4357442259788513,0,0,0,843,"Failed"
";) Recommend with confidence!",";) Recommend [[improvement]] with [[minimal]] confidence!",0.25946903228759766,0.5132843852043152,1,0,1,297,"Successful"
"As for the killer, don't expect anything original or even remotely frightening.","As for the [[perfect]] killer, don't expect anything original or even remotely frightening.",0.4947982430458069,0.7584680914878845,0,1,0,534,"Successful"
"But if you liked movies like The Matrix (and [[better]] yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.","But if you liked movies like The Matrix (and [[worse]] yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.",0.2207295298576355,0.6199913024902344,1,0,1,790,"Successful"
"The kids are very cool too.","The [[poor]] kids are very cool too.",0.2216256856918335,0.629871129989624,1,0,1,300,"Successful"
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.","Unfortunately, [[any]] inexperience [[outside]] of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0.09133636951446533,0.5045468807220459,0,1,0,432,"Successful"
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[perfect]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).","A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by [[bad]] performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",0.0691756010055542,0.5280988216400146,1,0,1,909,"Successful"
"[[Later]] I found myself lost in the power of the film.","[[otherwise]] I found myself lost in the power of the film.",0.23273491859436035,0.5259045362472534,1,0,1,692,"Successful"
"The jerky camera movements were also annoying.","The jerky camera movements were also annoying.",0.6093138456344604,0.6093138456344604,1,1,0,1,"Skipped"
"So bad.","So bad.",0.7983970046043396,0.7983970046043396,1,1,0,1,"Skipped"
"10 out of 10 stars.","10 [[worst]] out [[els]] of 10 stars.",0.21770548820495605,0.8371248841285706,1,0,1,372,"Successful"
"Generally; it just [[lacked]] imagination.","Generally; it just [[works]] imagination.",0.24976760149002075,0.77752286195755,0,1,0,304,"Successful"
