"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.","The opening sequence of this gem is a classic, and the cat n mouse games that follow are [[not]] a delight to watch.",0.2954515218734741,0.5696735382080078,1,0,1,661,"Successful"
"Fans of the genre will be in [[heaven]].","Fans of the genre will be in [[danger]].",0.47276270389556885,0.6793214082717896,1,0,1,481,"Successful"
"Lange had become a great actress.","Lange had [[not]] become a great actress.",0.3704221844673157,0.6604669094085693,1,0,1,382,"Successful"
"It looked like a wonderful story.","It looked [[less]] like a wonderful story.",0.3453824520111084,0.6830378770828247,1,0,1,348,"Successful"
"I [[never]] walked out of a movie faster.","I [[easily]] walked [[you]] out of a movie faster.",0.34379690885543823,0.5906004905700684,0,1,0,754,"Successful"
"I just got [[bored]] watching Jessice Lange take her clothes off!","I [[originally]] just got [[excited]] watching Jessice Lange take her clothes off!",0.3318636417388916,0.5442498922348022,0,1,0,988,"Successful"
"[[Unfortunately]], any virtue in this film's production work was [[lost]] on a [[regrettable]] script.","[[presumably]], any virtue in this film's production work was [[tested]] on a [[previous]] script.",0.34249067306518555,0.5128054618835449,0,1,0,1492,"Successful"
"In a word, it is [[embarrassing]].","In a word, it is [[known]].",0.34286564588546753,0.5308828949928284,0,1,0,302,"Successful"
"Exceptionally [[bad]]!","Exceptionally [[impressive]]!",0.382488489151001,0.6190229654312134,0,1,0,101,"Successful"
"All in all its an insult to one's intelligence and a huge waste of money.","All in all its an insult to one's intelligence [[s]] and [[not]] a huge waste of money.",0.3240029811859131,0.4073472023010254,0,0,0,196,"Failed"
