"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Watching [[washing]] [[machine]] twirling around wouldn't hurt your eyes as much as this [[show]].","Watching [[rinsing]] [[appliance]] twirling around wouldn't hurt your eyes as much as this [[displays]].",0.3985140919685364,0.4153730869293213,0,0,0,32,"Failed"
"The movie has almost no action scenes in it and very [[little]] comedy.","The movie has almost no action scenes in it and very [[kiddo]] comedy.",0.3938508629798889,0.5313829779624939,0,1,0,15,"Successful"
"I just [[saw]] this [[film]] and I [[recommend]] it.","I just [[watched]] this [[flick]] and I [[recommendation]] it.",0.33490675687789917,0.4615747928619385,1,1,1,25,"Failed"
"This is a witty and [[delightful]] [[adaptation]] of the Dr Seuss book, [[brilliantly]] animated by UPA's [[finest]] and thoroughly deserving of its [[Academy]] [[Award]].","This is a witty and [[charmer]] [[adaptations]] of the Dr Seuss book, [[brightly]] animated by UPA's [[meanest]] and thoroughly deserving of its [[Oscars]] [[Awards]].",0.32198816537857056,0.38473445177078247,1,1,1,72,"Failed"
"[[Her]] role was played well.","[[His]] role was played well.",0.454534649848938,0.5189999938011169,1,0,1,6,"Successful"
"This is an [[excellent]] [[film]].","This is an [[super]] [[flick]].",0.35147565603256226,0.659329891204834,1,0,1,46,"Successful"
"[[Avoid]] at all [[costs]].","[[Stave]] at all [[charges]].",0.32535064220428467,0.3971255421638489,0,0,0,18,"Failed"
"This is [[probably]] the most [[irritating]] show I [[have]] ever seen in my [[entire]] [[life]].","This is [[potentially]] the most [[annoying]] show I [[has]] ever seen in my [[total]] [[vie]].",0.39672595262527466,0.4820871949195862,0,0,0,41,"Failed"
"The best scene in the movie is at the end, but I won't spoil it.","The best scene in the movie is at the end, but I won't spoil it.",0.6191294193267822,0.6191294193267822,0,0,1,1,"Skipped"
"I [[guess]] that nobody at the [[network]] that aired this dribble watched it before putting it on.","I [[imagines]] that nobody at the [[networking]] that aired this dribble watched it before putting it on.",0.39483189582824707,0.426658570766449,0,0,0,20,"Failed"
"This film offers many [[delights]] and [[surprises]].","This film offers many [[pleasures]] and [[stuns]].",0.30998730659484863,0.5310716032981873,1,0,1,12,"Successful"
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.","I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",0.5284708142280579,0.5284708142280579,0,0,1,1,"Skipped"
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.","Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",0.5489307641983032,0.5489307641983032,0,0,1,1,"Skipped"
"This one [[wants]] to [[surf]] on the [[small]] wave of space [[movies]] in 1998 ([[Deep]] [[Impact]] and Armageddon), and this one fails everywhere.","This one [[wanted]] to [[surfing]] on the [[petite]] wave of space [[cinematographic]] in 1998 ([[Profound]] [[Impacting]] and Armageddon), and this one fails everywhere.",0.32082265615463257,0.37459468841552734,0,0,0,50,"Failed"
"This [[movie]] is great--especially if you [[enjoy]] visual [[arts]].","This [[movies]] is great--especially if you [[enjoying]] visual [[humanities]].",0.34511303901672363,0.5045036673545837,1,0,1,19,"Successful"
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.","Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",0.5615593791007996,0.5615593791007996,0,0,1,1,"Skipped"
"It was [[forced]], like everything in this movie.","It was [[obliged]], like everything in this movie.",0.3710501194000244,0.5092368125915527,0,1,0,9,"Successful"
"This film tries to [[be]] a [[serious]] and sophisticated thriller/horror [[flick]] and it fails miserably.","This film tries to [[are]] a [[severe]] and sophisticated thriller/horror [[film]] and it fails miserably.",0.4460482597351074,0.5189458727836609,0,1,0,15,"Successful"
"It's [[still]] wild stuff though and is highly [[recommended]] to [[fans]] of giallo cinema.","It's [[however]] wild stuff though and is highly [[suggested]] to [[stalkers]] of giallo cinema.",0.3508460521697998,0.5969669818878174,1,0,1,26,"Successful"
"And I really did find them funny.","And I really did find them funny.",0.6306359767913818,0.6306359767913818,0,0,1,1,"Skipped"
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[greatest]] cinematographers to ever grace the screen..James Wong Howe.","John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the [[highest]] cinematographers to ever grace the screen..James Wong Howe.",0.47889846563339233,0.506304144859314,1,0,1,30,"Successful"
"This film has no redeeming features.","This film has no redeeming features.",0.3872932195663452,0.3872932195663452,0,0,0,32,"Failed"
"The plot was the same as pretty much [[every]] other [[cheap]] [[horror]].","The plot was the same as pretty much [[each]] other [[cheaper]] [[monstrosity]].",0.42090702056884766,0.49678468704223633,0,0,0,18,"Failed"
"And if that isn't enough of a mess of a movie for you - the picture is also [[marred]] with a [[constant]] use of studio sets and indoor exteriors.","And if that isn't enough of a mess of a movie for you - the picture is also [[tarnished]] with a [[unbroken]] use of studio sets and indoor exteriors.",0.39755135774612427,0.5055780410766602,0,1,0,28,"Successful"
"[[His]] performance is simply [[genius]].","[[Her]] performance is simply [[genie]].",0.3714563250541687,0.5050047636032104,1,0,1,8,"Successful"
"It was just too [[horrible]].","It was just too [[gruesome]].",0.29407936334609985,0.30341070890426636,0,0,0,23,"Failed"
