"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'm really [[disappointed]] all I have now is a charger that doesn't work.","I'm really [[impressed]] all I have now is a charger that doesn't work.",0.11089855432510376,0.8485381603240967,0,1,0,44,"Successful"
"[[Painful]] on the ear.","[[kiss]] on the ear.",0.46027588844299316,0.8731201887130737,0,1,0,30,"Successful"
"Lasted one day and then blew up.","Lasted one day and then blew up.",0.7462100982666016,0.7462100982666016,1,1,0,1,"Skipped"
"disappointed.","disappointed.",0.7713516354560852,0.7713516354560852,1,1,0,1,"Skipped"
"Kind of flops around.","Kind of flops around.",0.5990209579467773,0.5990209579467773,1,1,0,1,"Skipped"
"The screen does get smudged easily because it touches your ear and face.","The screen does get smudged easily because it touches your ear and face.",0.584749698638916,0.584749698638916,1,1,0,1,"Skipped"
"What a piece of junk.. I lose more calls on this phone.","What a piece of junk.. I lose more calls on this phone.",0.5771929621696472,0.5771929621696472,1,1,0,1,"Skipped"
"Item Does Not Match Picture.","Item Does Not Match Picture.",0.5127837061882019,0.5127837061882019,1,1,0,1,"Skipped"
"The only thing that [[disappoint]] me is the infra red port (irda).","The only thing that [[interests]] me is the infra red port (irda).",0.3729661703109741,0.5876336097717285,0,1,0,21,"Successful"
"You can not answer calls with the unit, never worked once!","You can not answer calls with the unit, never worked once!",0.6640210747718811,0.6640210747718811,1,1,0,1,"Skipped"
