"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[If]] you haven't [[gone]] here [[GO]] NOW!","[[Unless]] you haven't [[vanished]] here [[GOING]] NOW!",0.29547423124313354,0.3649299144744873,1,1,1,18,"Failed"
"Try them in the [[airport]] to experience some [[tasty]] [[food]] and speedy, friendly service.","Try them in the [[aerodrome]] to experience some [[scrumptious]] [[nourishment]] and speedy, friendly service.",0.27133262157440186,0.504307746887207,1,0,1,37,"Successful"
"The restaurant is [[very]] [[clean]] and has a family restaurant feel to it.","The restaurant is [[eminently]] [[cleanliness]] and has a family restaurant feel to it.",0.2854743003845215,0.5727430582046509,1,0,1,18,"Successful"
"I personally [[love]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they [[do]] with eggplant!).","I personally [[adores]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[noteworthy]] what they [[doing]] with eggplant!).",0.1647295355796814,0.39627599716186523,1,1,1,49,"Failed"
"Come hungry, [[leave]] [[happy]] and stuffed!","Come hungry, [[letting]] [[cheerful]] and stuffed!",0.22708195447921753,0.3147887587547302,1,1,1,17,"Failed"
"It's a [[great]] place and I [[highly]] recommend it.","It's a [[resplendent]] place and I [[eminently]] recommend it.",0.130507230758667,0.6089140176773071,1,0,1,53,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.581974446773529,0.581974446773529,1,1,0,1,"Skipped"
"[[Reasonably]] [[priced]] also!","[[Logically]] [[costed]] also!",0.30249685049057007,0.5524039268493652,1,0,1,8,"Successful"
"[[Worst]] food/service I've had in a while.","[[Gravest]] food/service I've had in a while.",0.06003516912460327,0.7409600615501404,0,1,0,10,"Successful"
"I [[had]] a seriously [[solid]] [[breakfast]] here.","I [[have]] a seriously [[robust]] [[supper]] here.",0.3144611716270447,0.44677144289016724,1,1,1,26,"Failed"
"The service was [[terrible]] though.","The service was [[heinous]] though.",0.3349400758743286,0.7007738351821899,0,1,0,19,"Successful"
"2 times - Very [[Bad]] Customer Service !","2 times - Very [[Mala]] Customer Service !",0.1816709041595459,0.71342933177948,0,1,0,14,"Successful"
"Tried to go here for lunch and it was a madhouse.","Tried to go here for lunch and it was a madhouse.",0.6352399587631226,0.6352399587631226,1,1,0,1,"Skipped"
"The food wasn't good.","The food wasn't good.",0.7317156195640564,0.7317156195640564,1,1,0,1,"Skipped"
"The meat was pretty dry, I had the sliced brisket and pulled pork.","The meat was pretty dry, I had the sliced brisket and pulled pork.",0.5660638213157654,0.5660638213157654,1,1,0,1,"Skipped"
"Overall, a [[great]] experience.","Overall, a [[prodigious]] experience.",0.15242928266525269,0.3100566267967224,1,1,1,26,"Failed"
"I went to Bachi [[Burger]] on a friend's [[recommendation]] and was not disappointed.","I went to Bachi [[Hamburger]] on a friend's [[recommends]] and was not disappointed.",0.35853296518325806,0.449912965297699,1,1,1,23,"Failed"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.7446950674057007,0.7446950674057007,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5711205005645752,0.5711205005645752,1,1,0,1,"Skipped"
"All the [[bread]] is [[made]] in-house!","All the [[loaf]] is [[introduced]] in-house!",0.29804039001464844,0.37790799140930176,1,1,1,11,"Failed"
"My boyfriend and I came here for the first time on a [[recent]] [[trip]] to Vegas and could not have been more [[pleased]] with the quality of [[food]] and service.","My boyfriend and I came here for the first time on a [[newer]] [[travels]] to Vegas and could not have been more [[contented]] with the quality of [[nourishment]] and service.",0.19969439506530762,0.3826117515563965,1,1,1,45,"Failed"
"[[Everything]] on the menu is [[terrific]] and we were also thrilled that they made [[amazing]] accommodations for our vegetarian daughter.","[[Entire]] on the menu is [[magnifique]] and we were also thrilled that they made [[astounding]] accommodations for our vegetarian daughter.",0.10566788911819458,0.5397043824195862,1,0,1,50,"Successful"
"They dropped more than the ball.","They dropped more than the ball.",0.6825494766235352,0.6825494766235352,1,1,0,1,"Skipped"
"Be sure to order dessert, even if you [[need]] to pack it to-go - the tiramisu and cannoli are both to [[die]] for.","Be sure to order dessert, even if you [[needed]] to pack it to-go - the tiramisu and cannoli are both to [[killed]] for.",0.43929576873779297,0.5338042974472046,1,0,1,22,"Successful"
"[[If]] that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.","[[Though]] that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.49696624279022217,0.5212026834487915,0,1,0,16,"Successful"
"If it were possible to give them zero stars, they'd have it.","If it were possible to give them zero stars, they'd have it.",0.6181755065917969,0.6181755065917969,1,1,0,1,"Skipped"
