"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The refried [[beans]] that came with my [[meal]] were [[dried]] out and crusty and the [[food]] was bland.","The refried [[bean]] that came with my [[dine]] were [[driest]] out and crusty and the [[catering]] was bland.",0.38076508045196533,0.4890926480293274,0,0,0,34,"Failed"
"[[Spend]] your money and time some place else.","[[Spending]] your money and time some place else.",0.47691142559051514,0.564447283744812,0,1,0,13,"Successful"
"A lady at the table next to us found a live green caterpillar [[In]] her salad.","A lady at the table next to us found a live green caterpillar [[For]] her salad.",0.48590409755706787,0.6049994230270386,0,1,0,18,"Successful"
"the presentation of the food was [[awful]].","the presentation of the food was [[horrendous]].",0.4353926181793213,0.5250868797302246,0,1,0,19,"Successful"
"I can't [[tell]] you how [[disappointed]] I was.","I can't [[say]] you how [[frustrating]] I was.",0.4009062647819519,0.4385133981704712,0,0,0,14,"Failed"
"I think [[food]] should [[have]] [[flavor]] and [[texture]] and both were [[lacking]].","I think [[foods]] should [[has]] [[fragrances]] and [[fabric]] and both were [[missing]].",0.4393044710159302,0.5426087379455566,0,1,0,37,"Successful"
"[[Appetite]] instantly [[gone]].","[[Anorexia]] instantly [[missing]].",0.4235227704048157,0.490440309047699,0,0,0,12,"Failed"
"[[Overall]] I was not impressed and would not go back.","[[Holistic]] I was not impressed and would not go back.",0.3551599979400635,0.37308645248413086,0,0,0,10,"Failed"
"The whole experience was underwhelming, and I [[think]] we'll just go to Ninja Sushi next time.","The whole experience was underwhelming, and I [[believe]] we'll just go to Ninja Sushi next time.",0.49176621437072754,0.5015756487846375,0,1,0,19,"Successful"
"Then, as if I hadn't wasted enough of my [[life]] there, they [[poured]] [[salt]] in the [[wound]] by drawing out the [[time]] it [[took]] to [[bring]] the [[check]].","Then, as if I hadn't wasted enough of my [[iife]] there, they [[flowed]] [[sel]] in the [[wounds]] by drawing out the [[times]] it [[taken]] to [[brings]] the [[checked]].",0.38958287239074707,0.44757765531539917,0,0,0,34,"Failed"
