"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"If you haven't gone here GO NOW!","If you haven't gone here GO NOW!",0.4695301651954651,0.4695301651954651,1,1,1,18,"Failed"
"[[Try]] them in the [[airport]] to experience some [[tasty]] [[food]] and speedy, friendly service.","[[Attempting]] them in the [[aerodrome]] to experience some [[delectable]] [[nourishment]] and speedy, friendly service.",0.3702515959739685,0.6394017934799194,1,0,1,44,"Successful"
"The restaurant is [[very]] clean and has a family restaurant feel to it.","The restaurant is [[eminently]] clean and has a family restaurant feel to it.",0.2299770712852478,0.5294003486633301,1,0,1,15,"Successful"
"I personally [[love]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they do with eggplant!).","I personally [[amour]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[staggering]] what they do with eggplant!).",0.13814270496368408,0.4585099220275879,1,1,1,49,"Failed"
"[[Come]] hungry, [[leave]] [[happy]] and stuffed!","[[Arrived]] hungry, [[leaving]] [[jubilant]] and stuffed!",0.3612583875656128,0.395801305770874,1,1,1,17,"Failed"
"It's a [[great]] place and I [[highly]] [[recommend]] it.","It's a [[whopping]] place and I [[unimaginably]] [[recommended]] it.",0.08283001184463501,0.5307055711746216,1,0,1,56,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.5088233947753906,0.5088233947753906,1,1,0,1,"Skipped"
"Reasonably [[priced]] also!","Reasonably [[costed]] also!",0.4722529649734497,0.5369313955307007,1,0,1,5,"Successful"
"[[Worst]] food/service I've had in a while.","[[Gravest]] food/service I've had in a while.",0.3442283868789673,0.5351304411888123,0,1,0,10,"Successful"
"I had a seriously solid [[breakfast]] here.","I had a seriously solid [[luncheons]] here.",0.32547783851623535,0.5657596588134766,1,0,1,16,"Successful"
"The service was [[terrible]] though.","The service was [[scary]] though.",0.15004533529281616,0.5431833267211914,0,1,0,19,"Successful"
"2 times - Very [[Bad]] Customer Service !","2 times - Very [[Mala]] Customer Service !",0.0889747142791748,0.793732762336731,0,1,0,14,"Successful"
"Tried to go here for lunch and it was a madhouse.","Tried to go here for lunch and it was a madhouse.",0.5583128929138184,0.5583128929138184,1,1,0,1,"Skipped"
"The food wasn't good.","The food wasn't good.",0.5192055106163025,0.5192055106163025,1,1,0,1,"Skipped"
"The meat was [[pretty]] dry, I [[had]] the [[sliced]] brisket and pulled pork.","The meat was [[quite]] dry, I [[has]] the [[cutting]] brisket and pulled pork.",0.27833014726638794,0.5131114721298218,0,1,0,18,"Successful"
"Overall, a [[great]] experience.","Overall, a [[huge]] experience.",0.3542499542236328,0.47457706928253174,1,1,1,26,"Failed"
"I went to Bachi Burger on a friend's recommendation and was not disappointed.","I went to Bachi Burger on a friend's recommendation and was not disappointed.",0.8295629620552063,0.8295629620552063,0,0,1,1,"Skipped"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.5244246125221252,0.5244246125221252,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5361982583999634,0.5361982583999634,1,1,0,1,"Skipped"
"All the bread is [[made]] in-house!","All the bread is [[effected]] in-house!",0.48881590366363525,0.5403146743774414,1,0,1,9,"Successful"
"My boyfriend and I came here for the first [[time]] on a recent trip to Vegas and could not have been more [[pleased]] with the quality of food and service.","My boyfriend and I came here for the first [[moment]] on a recent trip to Vegas and could not have been more [[contented]] with the quality of food and service.",0.35199081897735596,0.5036325454711914,1,0,1,34,"Successful"
"Everything on the menu is [[terrific]] and we were also thrilled that they made [[amazing]] accommodations for our vegetarian daughter.","Everything on the menu is [[magnifique]] and we were also thrilled that they made [[striking]] accommodations for our vegetarian daughter.",0.0182725191116333,0.6728325486183167,1,0,1,49,"Successful"
"They dropped more than the ball.","They dropped more than the ball.",0.5211148262023926,0.5211148262023926,1,1,0,1,"Skipped"
"Be sure to order dessert, even if you [[need]] to [[pack]] it to-go - the tiramisu and cannoli are both to [[die]] for.","Be sure to order dessert, even if you [[needed]] to [[packaged]] it to-go - the tiramisu and cannoli are both to [[dying]] for.",0.2211763858795166,0.30609428882598877,1,1,1,33,"Failed"
"If that bug never showed up I would [[have]] [[given]] a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.","If that bug never showed up I would [[ha]] [[afforded]] a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.4431283473968506,0.5862836837768555,0,1,0,24,"Successful"
"If it were possible to give them zero stars, they'd have it.","If it were possible to give them zero stars, they'd have it.",0.5344589948654175,0.5344589948654175,1,1,0,1,"Skipped"
"The only good thing was our waiter, he was [[very]] [[helpful]] and kept the bloddy mary's coming.","The only good thing was our waiter, he was [[hugely]] [[serviceable]] and kept the bloddy mary's coming.",0.2334248423576355,0.6110037565231323,1,0,1,28,"Successful"
