"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[If]] you haven't [[gone]] here GO NOW!","[[unless]] you haven't [[finished]] here GO NOW!",0.29547423124313354,0.381338894367218,1,1,1,71,"Failed"
"Try them in the airport to [[experience]] some [[tasty]] food and speedy, friendly service.","Try them in the airport to [[be]] some [[decent]] food and speedy, friendly service.",0.27133262157440186,0.5113162994384766,1,0,1,84,"Successful"
"The [[restaurant]] is very [[clean]] and has a [[family]] restaurant [[feel]] to it.","The [[place]] is very [[expensive]] and has a [[catering]] restaurant [[adjacent]] to it.",0.2854743003845215,0.5861872434616089,1,0,1,124,"Successful"
"I personally [[love]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[amazing]] what they do with eggplant!).","I personally [[made]] the hummus, pita, baklava, falafels and Baba Ganoush (it's [[awful]] what they do with eggplant!).",0.1647295355796814,0.511359453201294,1,0,1,71,"Successful"
"[[Come]] hungry, leave [[happy]] and stuffed!","[[quit]] hungry, leave [[dry]] and stuffed!",0.22708195447921753,0.578357994556427,1,0,1,49,"Successful"
"It's a [[great]] place and [[I]] [[highly]] recommend it.","It's a [[cute]] place and [[they]] [[even]] recommend it.",0.130507230758667,0.513392984867096,1,0,1,80,"Successful"
"Best of luck to the rude and non-customer service focused new management.","Best of luck to the rude and non-customer service focused new management.",0.581974446773529,0.581974446773529,1,1,0,1,"Skipped"
"[[Reasonably]] priced also!","[[not]] priced also!",0.30249685049057007,0.5122498273849487,1,0,1,22,"Successful"
"Worst [[food]]/service [[I've]] had in a while.","Worst [[product]]/service [[management]] had in a while.",0.06003516912460327,0.13833844661712646,0,0,0,113,"Failed"
"[[I]] had a [[seriously]] solid breakfast here.","[[they]] had a [[reasonably]] solid breakfast here.",0.3144611716270447,0.5750064849853516,1,0,1,30,"Successful"
"The service was [[terrible]] though.","The service was [[excellent]] though.",0.3349400758743286,0.9227851629257202,0,1,0,43,"Successful"
"2 times - [[Very]] Bad Customer Service !","2 times - [[not]] Bad Customer Service !",0.1816709041595459,0.51774662733078,0,1,0,23,"Successful"
"Tried to go here for lunch and it was a madhouse.","Tried to go here for lunch and it was a madhouse.",0.6352399587631226,0.6352399587631226,1,1,0,1,"Skipped"
"The food wasn't good.","The food wasn't good.",0.7317156195640564,0.7317156195640564,1,1,0,1,"Skipped"
"The meat was pretty dry, I had the sliced brisket and pulled pork.","The meat was pretty dry, I had the sliced brisket and pulled pork.",0.5660638213157654,0.5660638213157654,1,1,0,1,"Skipped"
"Overall, a [[great]] experience.","Overall, a [[tough]] experience.",0.15242928266525269,0.3425379991531372,1,1,1,93,"Failed"
"[[I]] went to Bachi [[Burger]] on a friend's recommendation and was not disappointed.","[[it]] went to Bachi [[theatre]] on a friend's recommendation and was not disappointed.",0.35853296518325806,0.5924109816551208,1,0,1,30,"Successful"
"I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.","I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.",0.7446950674057007,0.7446950674057007,1,1,0,1,"Skipped"
"The place was not clean and the food oh so stale!","The place was not clean and the food oh so stale!",0.5711205005645752,0.5711205005645752,1,1,0,1,"Skipped"
"[[All]] the bread is [[made]] in-house!","[[half]] the bread is [[produced]] in-house!",0.29804039001464844,0.5979230403900146,1,0,1,41,"Successful"
"My boyfriend and I came here for the first time on a recent [[trip]] to Vegas and could not have been more [[pleased]] with the quality of food and service.","My boyfriend and I came here for the first time on a recent [[voyage]] to Vegas and could not have been more [[generous]] with the quality of food and service.",0.19969439506530762,0.3318369388580322,1,1,1,35,"Failed"
