"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Thanks]] again to Amazon for having the things I [[need]] for a [[good]] price!","[[Merci]] again to Amazon for having the things I [[gotta]] for a [[alright]] price!",0.4381375312805176,0.55134117603302,1,0,1,30,"Successful"
"The tracfonewebsite is user [[friendly]] and makes it [[easy]] toactivate, [[etc]].","The tracfonewebsite is user [[amicable]] and makes it [[easier]] toactivate, [[cetera]].",0.1191033124923706,0.21125859022140503,1,1,1,18,"Failed"
"I would [[highly]] [[recommend]] this product.","I would [[eminently]] [[recommendations]] this product.",0.15948253870010376,0.47949111461639404,1,1,1,35,"Failed"
"This does not [[fit]] the [[Palm]] Tungsten E2 and it [[broke]] the first [[time]] I [[tried]] to plug it in.","This does not [[fitted]] the [[Palme]] Tungsten E2 and it [[cracked]] the first [[times]] I [[strived]] to plug it in.",0.16679781675338745,0.5436455607414246,0,1,0,29,"Successful"
"I [[highly]] [[recommend]] this device to everyone!","I [[unimaginably]] [[recommended]] this device to everyone!",0.1705470085144043,0.5930768251419067,1,0,1,29,"Successful"
"It works fine on my Motorola 325 cellphone, and a [[lot]] better than the worn-out battery did.","It works fine on my Motorola 325 cellphone, and a [[batches]] better than the worn-out battery did.",0.41852831840515137,0.5563231110572815,1,0,1,15,"Successful"
"Don't make the same mistake that I did and please don't buy this phone.","Don't make the same mistake that I did and please don't buy this phone.",0.5496554374694824,0.5496554374694824,1,1,0,1,"Skipped"
"I [[got]] the aluminum [[case]] for my new [[Palm]] VX and it [[worked]] [[really]] well--it [[has]] protected my handheld [[perfectly]] so far.","I [[did]] the aluminum [[instances]] for my new [[Palme]] VX and it [[functioned]] [[truthfully]] well--it [[have]] protected my handheld [[altogether]] so far.",0.17700254917144775,0.6970055103302002,1,0,1,57,"Successful"
"[[Terrible]] product, and [[waste]] of money!","[[Heinous]] product, and [[squander]] of money!",0.04354673624038696,0.18592357635498047,0,0,0,25,"Failed"
"[[Very]] good stuff for the price.","[[Eminently]] good stuff for the price.",0.47860193252563477,0.5215586423873901,1,0,1,22,"Successful"
